camera_scene,cell,executions,lidar_scene,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0398,BB,3,scene-0398,45.406987,45.24281333333334,P50_ms,45.15198,3dssd,False,3dssd+yolov3,0.2550069999999991,0.1424473442445771
scene-0770,BA,3,scene-0398,30.7039275,30.4255805,P50_ms,30.270742499999997,yolov3,False,3dssd+yolov3,0.4331850000000017,0.24156399952600574
scene-0770,BA,3,scene-0398,45.3931535,45.331446500000006,P50_ms,45.262587,3dssd,False,3dssd+yolov3,0.13056649999999337,0.06557645478942561
scene-0245,AA,3,scene-0245,96.6021465,96.14337516666667,P50_ms,95.5297455,dino,False,centerpoint+dino,1.0724009999999993,0.5527176528321976
scene-0245,AA,3,scene-0245,227.784558,227.15623866666667,P50_ms,226.20317799999998,centerpoint,False,centerpoint+dino,1.5813800000000242,0.8392159294730714
scene-0184,AB,3,scene-0245,102.213458,98.344173,P50_ms,95.732634,dino,False,centerpoint+dino,6.480823999999998,3.418583578052612
scene-0184,AB,3,scene-0245,228.0977175,227.5516291666667,P50_ms,227.132352,centerpoint,False,centerpoint+dino,0.9653654999999901,0.4950186270647556
scene-0184,BB,3,scene-0184,93.639976,92.953007,P50_ms,92.607864,dino,False,centerpoint+dino,1.032111999999998,0.5949349173170163
scene-0184,BB,3,scene-0184,310.00795500000004,306.36318566666665,P50_ms,304.393407,centerpoint,False,centerpoint+dino,5.614548000000013,3.159902310379454
scene-0245,BA,3,scene-0184,94.721274,92.91464233333333,P50_ms,90.74033299999999,dino,False,centerpoint+dino,3.9809410000000014,2.015778500057568
scene-0245,BA,3,scene-0184,313.3840815,304.1375141666667,P50_ms,291.841195,centerpoint,False,centerpoint+dino,21.542886499999952,11.090524305534888
scene-0770,AA,3,scene-0770,40.7836395,35.60815983333334,P50_ms,25.641621999999998,yolov3,False,centerpoint+yolov3,15.142017500000001,8.633414866659898
scene-0770,AA,3,scene-0770,142.151663,141.58468783333333,P50_ms,140.6424445,centerpoint,False,centerpoint+yolov3,1.509218500000003,0.8216171662462896
scene-0245,AB,3,scene-0770,29.390405,27.611915999999997,P50_ms,26.078213,yolov3,False,centerpoint+yolov3,3.3121919999999996,1.6696089663639806
scene-0245,AB,3,scene-0770,141.631857,140.51607433333334,P50_ms,139.549236,centerpoint,False,centerpoint+yolov3,2.082620999999989,1.049269206750261
scene-0245,BB,3,scene-0245,27.041774,26.268690333333335,P50_ms,25.626121,yolov3,False,centerpoint+yolov3,1.415652999999999,0.7167941458370964
scene-0245,BB,3,scene-0245,107.430323,107.31780450000001,P50_ms,107.184171,centerpoint,False,centerpoint+yolov3,0.24615199999999504,0.12442702357104493
scene-0770,BA,3,scene-0245,24.677278,24.381022,P50_ms,23.833196,yolov3,False,centerpoint+yolov3,0.8440820000000002,0.4749570552755265
scene-0770,BA,3,scene-0245,107.518274,107.26500500000002,P50_ms,107.0092965,centerpoint,False,centerpoint+yolov3,0.5089775000000003,0.2544975191367296
scene-0245,AA,3,scene-0245,41.952731,41.11804433333334,P50_ms,40.189941,vit-upernet,False,pointpillars+vit-upernet,1.7627900000000025,0.8851000797838263
scene-0245,AA,3,scene-0245,59.286793,59.22899850000001,P50_ms,59.121939499999996,pointpillars,False,pointpillars+vit-upernet,0.16485350000000665,0.092813858532822
scene-0398,AB,3,scene-0245,39.224378,38.607068,P50_ms,38.239947,vit-upernet,False,pointpillars+vit-upernet,0.9844310000000007,0.5377936409358155
scene-0398,AB,3,scene-0245,59.322149,59.24329866666667,P50_ms,59.168804,pointpillars,False,pointpillars+vit-upernet,0.15334500000000162,0.07676523386490444
scene-0398,BB,3,scene-0398,40.241259,39.511404,P50_ms,38.491509,vit-upernet,False,pointpillars+vit-upernet,1.7497499999999988,0.910219021348707
scene-0398,BB,3,scene-0398,60.596524,60.449648333333336,P50_ms,60.231089,pointpillars,False,pointpillars+vit-upernet,0.36543500000000506,0.1929756353955969
scene-0245,BA,3,scene-0398,39.83775,39.14874566666667,P50_ms,38.301338,vit-upernet,False,pointpillars+vit-upernet,1.5364119999999986,0.7803583602706724
scene-0245,BA,3,scene-0398,60.6619745,60.59317583333333,P50_ms,60.5276695,pointpillars,False,pointpillars+vit-upernet,0.13430499999999768,0.0672130035806553
scene-0770,AA,3,scene-0770,62.551386,62.145687333333335,P50_ms,61.8138655,mask-rcnn,False,pointpillars+mask-rcnn,0.7375205000000022,0.3742692371242717
scene-0770,AA,3,scene-0770,66.69530850000001,66.61125249999999,P50_ms,66.452635,pointpillars,False,pointpillars+mask-rcnn,0.2426735000000093,0.13744878996284485
scene-0184,AB,3,scene-0770,50.965875,50.801936833333336,P50_ms,50.6321245,mask-rcnn,False,pointpillars+mask-rcnn,0.3337504999999936,0.16695277307694614
scene-0184,AB,3,scene-0770,59.108032,58.91399783333333,P50_ms,58.811523,pointpillars,False,pointpillars+mask-rcnn,0.29650900000000036,0.1681271257429423
scene-0184,BB,3,scene-0184,52.494603999999995,52.2504765,P50_ms,51.994444,mask-rcnn,False,pointpillars+mask-rcnn,0.5001599999999939,0.2502924353006869
scene-0184,BB,3,scene-0184,61.093587,60.723712166666665,P50_ms,60.4320515,pointpillars,False,pointpillars+mask-rcnn,0.6615354999999994,0.3376320428226309
scene-0770,BA,3,scene-0184,62.678577000000004,62.581634666666666,P50_ms,62.509555,mask-rcnn,False,pointpillars+mask-rcnn,0.16902200000000533,0.08721079787694837
scene-0770,BA,3,scene-0184,67.928804,67.7995155,P50_ms,67.5800005,pointpillars,False,pointpillars+mask-rcnn,0.3488035000000025,0.191106217532948
scene-0770,AA,3,scene-0770,9.4506085,9.423924166666668,P50_ms,9.398209999999999,yolov3,True,3dssd+yolov3,0.05239850000000068,0.026212718632056268
scene-0770,AA,3,scene-0770,38.931744,38.923962499999995,P50_ms,38.913367,3dssd,True,3dssd+yolov3,0.018377000000000976,0.009506181107574807
scene-0245,AB,3,scene-0770,9.538799,9.439937,P50_ms,9.332795,yolov3,True,3dssd+yolov3,0.2060039999999983,0.10325129928480233
scene-0245,AB,3,scene-0770,39.0757965,38.96012316666667,P50_ms,38.7841465,3dssd,True,3dssd+yolov3,0.2916500000000042,0.15489447902793005
scene-0245,BB,3,scene-0245,9.621994,9.471941333333334,P50_ms,9.296681,yolov3,True,3dssd+yolov3,0.3253130000000013,0.1641149196031048
scene-0245,BB,3,scene-0245,39.1329105,38.96288283333333,P50_ms,38.815632,3dssd,True,3dssd+yolov3,0.31727850000000046,0.1598608762114215
scene-0770,BA,3,scene-0245,9.446635,9.415884666666665,P50_ms,9.3919315,yolov3,True,3dssd+yolov3,0.05470350000000046,0.02797801519199223
scene-0770,BA,3,scene-0245,39.132557500000004,39.04026133333334,P50_ms,38.881127,3dssd,True,3dssd+yolov3,0.251430500000005,0.13840097353372954
scene-0245,AA,3,scene-0245,84.382689,83.976364,P50_ms,83.448415,dino,True,centerpoint+dino,0.934274000000002,0.47886456832908536
scene-0245,AA,3,scene-0245,177.73186,176.18197666666666,P50_ms,174.624064,centerpoint,True,centerpoint+dino,3.1077960000000076,1.553913558422522
scene-0184,AB,3,scene-0245,84.79726,84.19709616666667,P50_ms,83.870079,dino,True,centerpoint+dino,0.9271809999999903,0.5204545876669556
scene-0184,AB,3,scene-0245,179.071137,177.9616791666667,P50_ms,177.018492,centerpoint,True,centerpoint+dino,2.052644999999984,1.0363746064775834
scene-0184,BB,3,scene-0184,85.14192499999999,84.72812833333332,P50_ms,84.239617,dino,True,centerpoint+dino,0.9023079999999908,0.4557703838308601
scene-0184,BB,3,scene-0184,229.0099475,224.88489233333334,P50_ms,221.642114,centerpoint,True,centerpoint+dino,7.3678335000000175,3.762320019470454
scene-0245,BA,3,scene-0184,84.854691,84.55076783333334,P50_ms,84.151051,dino,True,centerpoint+dino,0.7036400000000071,0.3614687155620613
scene-0245,BA,3,scene-0184,225.161371,222.74439083333334,P50_ms,219.160976,centerpoint,True,centerpoint+dino,6.0003949999999975,3.1656930382947044
scene-0245,AA,3,scene-0245,12.012098,11.602279666666666,P50_ms,11.214303,yolov3,True,centerpoint+yolov3,0.7977950000000007,0.39934572654322176
scene-0245,AA,3,scene-0245,100.5105915,99.89534266666665,P50_ms,99.373132,centerpoint,True,centerpoint+yolov3,1.1374595000000056,0.5744089169551492
scene-0184,AB,3,scene-0245,11.888601000000001,11.5705715,P50_ms,11.196421,yolov3,True,centerpoint+yolov3,0.6921800000000005,0.3494859984044427
scene-0184,AB,3,scene-0245,100.121873,99.28852883333333,P50_ms,98.447536,centerpoint,True,centerpoint+yolov3,1.6743369999999942,0.8371947049334333
