camera_scene,lidar_scene,metric,model_id,off_executions,off_maximum,off_mean,off_minimum,off_range,off_std,on_executions,on_maximum,on_mean,on_minimum,on_minus_off_mean,on_range,on_std,pair
scene-0245,scene-0184,P50_ms,centerpoint,3,313.3840815,304.1375141666667,291.841195,21.542886499999952,11.090524305534888,3,225.161371,222.74439083333334,219.160976,-81.39312333333334,6.0003949999999975,3.1656930382947044,centerpoint+dino
scene-0245,scene-0184,P99_ms,centerpoint,3,326.81921768,325.57107288,323.21903008,3.6001876000000266,2.038205285196141,3,260.74815061,259.35689313000006,258.48874769,-66.21417974999991,2.259402919999957,1.2171524323275227,centerpoint+dino
scene-0245,scene-0184,throughput_hz,centerpoint,3,3.226192364184218,3.2038553808166697,3.1736460266866833,0.05254633749753479,0.027143324449432814,3,4.207821588785828,4.140190980052409,4.103745709218449,0.936335599235739,0.10407587956737885,0.05862884232064043,centerpoint+dino
scene-0245,scene-0184,unique_source_count,centerpoint,3,63.0,62.666666666666664,62.0,1.0,0.5773502691896258,3,82.0,80.66666666666667,80.0,18.000000000000007,2.0,1.1547005383792517,centerpoint+dino
scene-0245,scene-0245,R,yolov3,3,0.8822976680707937,0.8369196334067297,0.7849975375136261,0.09730013055716757,0.04897905067105251,3,2.470648733140166,2.3012732586109723,2.1989139961718194,1.4643536252042426,0.2717347369683467,0.14774410760157985,centerpoint+yolov3
scene-0245,scene-0245,P50_ms,yolov3,3,27.041774,26.268690333333335,25.626121,1.415652999999999,0.7167941458370964,3,12.012098,11.602279666666666,11.214303,-14.66641066666667,0.7977950000000007,0.39934572654322176,centerpoint+yolov3
scene-0245,scene-0245,P99_ms,yolov3,3,48.2695,48.23008876666666,48.1847785,0.08472150000000056,0.042667693706870714,3,38.920906499999965,38.271981433333316,37.04482519999999,-9.958107333333345,1.8760812999999743,1.0633361287151484,centerpoint+yolov3
scene-0245,scene-0245,throughput_hz,yolov3,3,11.985226332001798,11.98460460447338,11.984111249280426,0.0011150827213715075,0.0005685173359360136,3,11.98751797853437,11.979183601094364,11.971127658078805,-0.005421003379016298,0.016390320455565544,0.008198706938022006,centerpoint+yolov3
scene-0245,scene-0245,unique_source_count,yolov3,3,231.0,231.0,231.0,0.0,0.0,3,231.0,231.0,231.0,0.0,0.0,0.0,centerpoint+yolov3
scene-0245,scene-0245,R,centerpoint,3,0.20380567369411273,0.1961837421723008,0.19003711642940874,0.013768557264703996,0.007001834591294201,3,0.19257558095258046,0.18412582686507994,0.17709248136649997,-0.012057915307220862,0.01548309958608049,0.007838128167247419,centerpoint+yolov3
scene-0245,scene-0245,P50_ms,centerpoint,3,107.430323,107.31780450000001,107.184171,0.24615199999999504,0.12442702357104493,3,100.5105915,99.89534266666665,99.373132,-7.422461833333358,1.1374595000000056,0.5744089169551492,centerpoint+yolov3
scene-0245,scene-0245,P99_ms,centerpoint,3,129.02891318,128.37123255333333,127.84607179999999,1.1828413799999993,0.6024529609698066,3,119.86647705,118.29085281333333,117.47654225,-10.080379739999998,2.389934800000006,1.3647878842391543,centerpoint+yolov3
scene-0245,scene-0245,throughput_hz,centerpoint,3,8.393005714680244,8.354521744690539,8.305177883161061,0.08782783151918316,0.04490974204481908,3,9.070454308928511,9.005882751923053,8.937355769729471,0.6513610072325147,0.13309853919903958,0.06663737183850889,centerpoint+yolov3
scene-0245,scene-0245,unique_source_count,centerpoint,3,163.0,162.0,161.0,2.0,1.0,3,176.0,175.0,174.0,13.0,2.0,1.0,centerpoint+yolov3
