A,B,contrast,effect,isolated_B_minus_A,metric,model_id,mps_enabled,pair,paired_minus_isolated_effect,repetition,value
scene-0770,scene-0398,BA-AA,own_input,-0.25835468577226095,throughput_hz,3dssd,False,3dssd+yolov3,0.10322611535268322,1,-0.15512857041957773
scene-0770,scene-0398,BB-AB,own_input,-0.25835468577226095,throughput_hz,3dssd,False,3dssd+yolov3,0.1543843319077638,1,-0.10397035386449716
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,throughput_hz,3dssd,False,3dssd+yolov3,,1,0.05115821655508057
scene-0770,scene-0398,AB-AA,co_runner,,analysis_count,3dssd,False,3dssd+yolov3,,1,-1
scene-0770,scene-0398,BB-BA,co_runner,,analysis_count,3dssd,False,3dssd+yolov3,,1,0
scene-0770,scene-0398,BA-AA,own_input,-5,analysis_count,3dssd,False,3dssd+yolov3,2,1,-3
scene-0770,scene-0398,BB-AB,own_input,-5,analysis_count,3dssd,False,3dssd+yolov3,3,1,-2
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,analysis_count,3dssd,False,3dssd+yolov3,,1,1
scene-0770,scene-0398,AB-AA,co_runner,,analysis_unique_source_count,3dssd,False,3dssd+yolov3,,1,-1
scene-0770,scene-0398,BB-BA,co_runner,,analysis_unique_source_count,3dssd,False,3dssd+yolov3,,1,0
scene-0770,scene-0398,BA-AA,own_input,-5,analysis_unique_source_count,3dssd,False,3dssd+yolov3,2,1,-3
scene-0770,scene-0398,BB-AB,own_input,-5,analysis_unique_source_count,3dssd,False,3dssd+yolov3,3,1,-2
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,analysis_unique_source_count,3dssd,False,3dssd+yolov3,,1,1
scene-0245,scene-0184,BA-AA,co_runner,,R,dino,False,centerpoint+dino,,1,0.32999199161814724
scene-0245,scene-0184,BB-AB,co_runner,,R,dino,False,centerpoint+dino,,1,0.3222625549414721
scene-0245,scene-0184,AB-AA,own_input,-0.005968449211739581,R,dino,False,centerpoint+dino,0.03273951187451776,1,0.026771062662778178
scene-0245,scene-0184,BB-BA,own_input,-0.005968449211739581,R,dino,False,centerpoint+dino,0.02501007519784262,1,0.01904162598610304
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,R,dino,False,centerpoint+dino,,1,-0.007729436676675139
scene-0245,scene-0184,BA-AA,co_runner,,P50_ms,dino,False,centerpoint+dino,,1,-1.8808725000000095
scene-0245,scene-0184,BB-AB,co_runner,,P50_ms,dino,False,centerpoint+dino,,1,-2.092658
scene-0245,scene-0184,AB-AA,own_input,-0.32750750000000295,P50_ms,dino,False,centerpoint+dino,-0.5420049999999961,1,-0.869512499999999
scene-0245,scene-0184,BB-BA,own_input,-0.32750750000000295,P50_ms,dino,False,centerpoint+dino,-0.7537904999999867,1,-1.0812979999999897
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P50_ms,dino,False,centerpoint+dino,,1,-0.21178549999999063
scene-0245,scene-0184,BA-AA,co_runner,,P99_ms,dino,False,centerpoint+dino,,1,28.550529119999993
scene-0245,scene-0184,BB-AB,co_runner,,P99_ms,dino,False,centerpoint+dino,,1,27.10912546000003
scene-0245,scene-0184,AB-AA,own_input,-0.7117904399999873,P99_ms,dino,False,centerpoint+dino,2.023353619999938,1,1.3115631799999505
scene-0245,scene-0184,BB-BA,own_input,-0.7117904399999873,P99_ms,dino,False,centerpoint+dino,0.5819499599999745,1,-0.1298404800000128
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P99_ms,dino,False,centerpoint+dino,,1,-1.4414036599999633
scene-0245,scene-0184,BA-AA,co_runner,,P99_minus_P50_ms,dino,False,centerpoint+dino,,1,30.431401620000003
scene-0245,scene-0184,BB-AB,co_runner,,P99_minus_P50_ms,dino,False,centerpoint+dino,,1,29.20178346000003
scene-0245,scene-0184,AB-AA,own_input,-0.3842829399999843,P99_minus_P50_ms,dino,False,centerpoint+dino,2.565358619999934,1,2.1810756799999496
scene-0245,scene-0184,BB-BA,own_input,-0.3842829399999843,P99_minus_P50_ms,dino,False,centerpoint+dino,1.3357404599999612,1,0.9514575199999769
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,dino,False,centerpoint+dino,,1,-1.2296181599999727
scene-0245,scene-0184,BA-AA,co_runner,,throughput_hz,dino,False,centerpoint+dino,,1,-0.20199669001705267
scene-0245,scene-0184,BB-AB,co_runner,,throughput_hz,dino,False,centerpoint+dino,,1,-0.1679048468808233
scene-0245,scene-0184,AB-AA,own_input,0.06308047405522821,throughput_hz,dino,False,centerpoint+dino,-0.03264956906418526,1,0.03043090499104295
scene-0245,scene-0184,BB-BA,own_input,0.06308047405522821,throughput_hz,dino,False,centerpoint+dino,0.001442274072044114,1,0.06452274812727232
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,throughput_hz,dino,False,centerpoint+dino,,1,0.03409184313622937
scene-0245,scene-0184,BA-AA,co_runner,,analysis_count,dino,False,centerpoint+dino,,1,-3
scene-0245,scene-0184,BB-AB,co_runner,,analysis_count,dino,False,centerpoint+dino,,1,-4
scene-0245,scene-0184,AB-AA,own_input,1,analysis_count,dino,False,centerpoint+dino,0,1,1
scene-0245,scene-0184,BB-BA,own_input,1,analysis_count,dino,False,centerpoint+dino,-1,1,0
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,analysis_count,dino,False,centerpoint+dino,,1,-1
scene-0245,scene-0184,BA-AA,co_runner,,analysis_unique_source_count,dino,False,centerpoint+dino,,1,-3
scene-0245,scene-0184,BB-AB,co_runner,,analysis_unique_source_count,dino,False,centerpoint+dino,,1,-4
scene-0245,scene-0184,AB-AA,own_input,1,analysis_unique_source_count,dino,False,centerpoint+dino,0,1,1
scene-0245,scene-0184,BB-BA,own_input,1,analysis_unique_source_count,dino,False,centerpoint+dino,-1,1,0
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,analysis_unique_source_count,dino,False,centerpoint+dino,,1,-1
scene-0245,scene-0184,AB-AA,co_runner,,R,centerpoint,False,centerpoint+dino,,1,-0.007441825437328173
scene-0245,scene-0184,BB-BA,co_runner,,R,centerpoint,False,centerpoint+dino,,1,-0.034081324628194035
scene-0245,scene-0184,BA-AA,own_input,-0.1069079164801364,R,centerpoint,False,centerpoint+dino,0.1201056681779393,1,0.013197751697802906
scene-0245,scene-0184,BB-AB,own_input,-0.1069079164801364,R,centerpoint,False,centerpoint+dino,0.09346616898707344,1,-0.013441747493062955
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,R,centerpoint,False,centerpoint+dino,,1,-0.026639499190865862
scene-0245,scene-0184,AB-AA,co_runner,,P50_ms,centerpoint,False,centerpoint+dino,,1,-0.05616199999997207
scene-0245,scene-0184,BB-BA,co_runner,,P50_ms,centerpoint,False,centerpoint+dino,,1,12.552211999999997
scene-0245,scene-0184,BA-AA,own_input,32.935929000000016,P50_ms,centerpoint,False,centerpoint+dino,31.424286000000023,1,64.36021500000004
scene-0245,scene-0184,BB-AB,own_input,32.935929000000016,P50_ms,centerpoint,False,centerpoint+dino,44.03265999999999,1,76.96858900000001
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P50_ms,centerpoint,False,centerpoint+dino,,1,12.60837399999997
scene-0245,scene-0184,AB-AA,co_runner,,P99_ms,centerpoint,False,centerpoint+dino,,1,-1.7536065799999392
scene-0245,scene-0184,BB-BA,co_runner,,P99_ms,centerpoint,False,centerpoint+dino,,1,3.4587362000000326
scene-0245,scene-0184,BA-AA,own_input,24.48829640999999,P99_ms,centerpoint,False,centerpoint+dino,49.44058541,1,73.92888181999999
scene-0245,scene-0184,BB-AB,own_input,24.48829640999999,P99_ms,centerpoint,False,centerpoint+dino,54.65292818999997,1,79.14122459999996
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P99_ms,centerpoint,False,centerpoint+dino,,1,5.212342779999972
scene-0245,scene-0184,AB-AA,co_runner,,P99_minus_P50_ms,centerpoint,False,centerpoint+dino,,1,-1.6974445799999671
scene-0245,scene-0184,BB-BA,co_runner,,P99_minus_P50_ms,centerpoint,False,centerpoint+dino,,1,-9.093475799999965
scene-0245,scene-0184,BA-AA,own_input,-8.447632590000026,P99_minus_P50_ms,centerpoint,False,centerpoint+dino,18.016299409999974,1,9.568666819999947
scene-0245,scene-0184,BB-AB,own_input,-8.447632590000026,P99_minus_P50_ms,centerpoint,False,centerpoint+dino,10.620268189999976,1,2.17263559999995
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,centerpoint,False,centerpoint+dino,,1,-7.396031219999998
scene-0245,scene-0184,AB-AA,co_runner,,throughput_hz,centerpoint,False,centerpoint+dino,,1,-0.04729314955028574
scene-0245,scene-0184,BB-BA,co_runner,,throughput_hz,centerpoint,False,centerpoint+dino,,1,0.005569171171840637
scene-0245,scene-0184,BA-AA,own_input,-2.396636849696452,throughput_hz,centerpoint,False,centerpoint+dino,1.46460826469214,1,-0.932028585004312
scene-0245,scene-0184,BB-AB,own_input,-2.396636849696452,throughput_hz,centerpoint,False,centerpoint+dino,1.5174705854142663,1,-0.8791662642821856
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,throughput_hz,centerpoint,False,centerpoint+dino,,1,0.05286232072212638
scene-0245,scene-0184,AB-AA,co_runner,,analysis_count,centerpoint,False,centerpoint+dino,,1,-1
scene-0245,scene-0184,BB-BA,co_runner,,analysis_count,centerpoint,False,centerpoint+dino,,1,0
scene-0245,scene-0184,BA-AA,own_input,-46,analysis_count,centerpoint,False,centerpoint+dino,28,1,-18
scene-0245,scene-0184,BB-AB,own_input,-46,analysis_count,centerpoint,False,centerpoint+dino,29,1,-17
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,analysis_count,centerpoint,False,centerpoint+dino,,1,1
scene-0245,scene-0184,AB-AA,co_runner,,analysis_unique_source_count,centerpoint,False,centerpoint+dino,,1,-1
scene-0245,scene-0184,BB-BA,co_runner,,analysis_unique_source_count,centerpoint,False,centerpoint+dino,,1,0
scene-0245,scene-0184,BA-AA,own_input,-46,analysis_unique_source_count,centerpoint,False,centerpoint+dino,28,1,-18
scene-0245,scene-0184,BB-AB,own_input,-46,analysis_unique_source_count,centerpoint,False,centerpoint+dino,29,1,-17
scene-0245,scene-0184,BB-BA-AB+AA,interaction,,analysis_unique_source_count,centerpoint,False,centerpoint+dino,,1,1
scene-0770,scene-0245,BA-AA,co_runner,,R,yolov3,False,centerpoint+yolov3,,1,0.8217813633684858
scene-0770,scene-0245,BB-AB,co_runner,,R,yolov3,False,centerpoint+yolov3,,1,-0.014031648161010768
scene-0770,scene-0245,AB-AA,own_input,0.10156071191863086,R,yolov3,False,centerpoint+yolov3,0.5607657578314258,1,0.6623264697500567
scene-0770,scene-0245,BB-BA,own_input,0.10156071191863086,R,yolov3,False,centerpoint+yolov3,-0.27504725369807076,1,-0.1734865417794399
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,R,yolov3,False,centerpoint+yolov3,,1,-0.8358130115294966
scene-0770,scene-0245,BA-AA,co_runner,,P50_ms,yolov3,False,centerpoint+yolov3,,1,-16.9504435
scene-0770,scene-0245,BB-AB,co_runner,,P50_ms,yolov3,False,centerpoint+yolov3,,1,0.059962999999999766
scene-0770,scene-0245,AB-AA,own_input,0.4695505000000004,P50_ms,yolov3,False,centerpoint+yolov3,-15.174976999999998,1,-14.705426499999998
scene-0770,scene-0245,BB-BA,own_input,0.4695505000000004,P50_ms,yolov3,False,centerpoint+yolov3,1.8354295,1,2.3049800000000005
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P50_ms,yolov3,False,centerpoint+yolov3,,1,17.0104065
scene-0770,scene-0245,BA-AA,co_runner,,P99_ms,yolov3,False,centerpoint+yolov3,,1,-0.5327040000000025
scene-0770,scene-0245,BB-AB,co_runner,,P99_ms,yolov3,False,centerpoint+yolov3,,1,-0.2558768800000024
scene-0770,scene-0245,AB-AA,own_input,1.6336054299999994,P99_ms,yolov3,False,centerpoint+yolov3,-1.8150976899999982,1,-0.18149225999999885
scene-0770,scene-0245,BB-BA,own_input,1.6336054299999994,P99_ms,yolov3,False,centerpoint+yolov3,-1.5382705699999981,1,0.09533486000000124
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P99_ms,yolov3,False,centerpoint+yolov3,,1,0.2768271200000001
scene-0770,scene-0245,BA-AA,co_runner,,P99_minus_P50_ms,yolov3,False,centerpoint+yolov3,,1,16.417739499999996
scene-0770,scene-0245,BB-AB,co_runner,,P99_minus_P50_ms,yolov3,False,centerpoint+yolov3,,1,-0.3158398800000022
scene-0770,scene-0245,AB-AA,own_input,1.164054929999999,P99_minus_P50_ms,yolov3,False,centerpoint+yolov3,13.35987931,1,14.523934239999999
scene-0770,scene-0245,BB-BA,own_input,1.164054929999999,P99_minus_P50_ms,yolov3,False,centerpoint+yolov3,-3.373700069999998,1,-2.2096451399999992
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,yolov3,False,centerpoint+yolov3,,1,-16.73357938
scene-0770,scene-0245,BA-AA,co_runner,,throughput_hz,yolov3,False,centerpoint+yolov3,,1,0.0
scene-0770,scene-0245,BB-AB,co_runner,,throughput_hz,yolov3,False,centerpoint+yolov3,,1,-0.0015432015011747069
scene-0770,scene-0245,AB-AA,own_input,-0.07466172762289247,throughput_hz,yolov3,False,centerpoint+yolov3,0.010331043903995862,1,-0.06433068371889661
scene-0770,scene-0245,BB-BA,own_input,-0.07466172762289247,throughput_hz,yolov3,False,centerpoint+yolov3,0.008787842402821155,1,-0.06587388522007132
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,throughput_hz,yolov3,False,centerpoint+yolov3,,1,-0.0015432015011747069
scene-0770,scene-0245,BA-AA,co_runner,,analysis_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,BB-AB,co_runner,,analysis_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,AB-AA,own_input,-1,analysis_count,yolov3,False,centerpoint+yolov3,0,1,-1
scene-0770,scene-0245,BB-BA,own_input,-1,analysis_count,yolov3,False,centerpoint+yolov3,0,1,-1
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,analysis_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,BA-AA,co_runner,,analysis_unique_source_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,BB-AB,co_runner,,analysis_unique_source_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,AB-AA,own_input,-1,analysis_unique_source_count,yolov3,False,centerpoint+yolov3,0,1,-1
scene-0770,scene-0245,BB-BA,own_input,-1,analysis_unique_source_count,yolov3,False,centerpoint+yolov3,0,1,-1
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,analysis_unique_source_count,yolov3,False,centerpoint+yolov3,,1,0
scene-0770,scene-0245,AB-AA,co_runner,,R,centerpoint,False,centerpoint+yolov3,,1,0.015679266210937765
scene-0770,scene-0245,BB-BA,co_runner,,R,centerpoint,False,centerpoint+yolov3,,1,0.016264542068472804
scene-0770,scene-0245,BA-AA,own_input,0.11229360616015421,R,centerpoint,False,centerpoint+yolov3,-0.006667105733442577,1,0.10562650042671164
scene-0770,scene-0245,BB-AB,own_input,0.11229360616015421,R,centerpoint,False,centerpoint+yolov3,-0.006081829875907538,1,0.10621177628424668
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,R,centerpoint,False,centerpoint+yolov3,,1,0.0005852758575350392
scene-0770,scene-0245,AB-AA,co_runner,,P50_ms,centerpoint,False,centerpoint+yolov3,,1,-1.7845330000000104
scene-0770,scene-0245,BB-BA,co_runner,,P50_ms,centerpoint,False,centerpoint+yolov3,,1,0.17487450000000138
scene-0770,scene-0245,BA-AA,own_input,-27.284536000000003,P50_ms,centerpoint,False,centerpoint+yolov3,-7.857830500000006,1,-35.14236650000001
scene-0770,scene-0245,BB-AB,own_input,-27.284536000000003,P50_ms,centerpoint,False,centerpoint+yolov3,-5.898422999999994,1,-33.182959
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P50_ms,centerpoint,False,centerpoint+yolov3,,1,1.959407500000026
scene-0770,scene-0245,AB-AA,co_runner,,P99_ms,centerpoint,False,centerpoint+yolov3,,1,0.3062549800000056
scene-0770,scene-0245,BB-BA,co_runner,,P99_ms,centerpoint,False,centerpoint+yolov3,,1,1.947433169999968
scene-0770,scene-0245,BA-AA,own_input,-17.94378012,P99_ms,centerpoint,False,centerpoint+yolov3,-8.063063849999992,1,-26.00684396999999
scene-0770,scene-0245,BB-AB,own_input,-17.94378012,P99_ms,centerpoint,False,centerpoint+yolov3,-6.421885660000029,1,-24.36566578000003
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P99_ms,centerpoint,False,centerpoint+yolov3,,1,1.6411781899999767
scene-0770,scene-0245,AB-AA,co_runner,,P99_minus_P50_ms,centerpoint,False,centerpoint+yolov3,,1,2.090787980000016
scene-0770,scene-0245,BB-BA,co_runner,,P99_minus_P50_ms,centerpoint,False,centerpoint+yolov3,,1,1.7725586699999667
scene-0770,scene-0245,BA-AA,own_input,9.340755880000003,P99_minus_P50_ms,centerpoint,False,centerpoint+yolov3,-0.2052333499999861,1,9.135522530000017
scene-0770,scene-0245,BB-AB,own_input,9.340755880000003,P99_minus_P50_ms,centerpoint,False,centerpoint+yolov3,-0.5234626600000354,1,8.817293219999968
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,centerpoint,False,centerpoint+yolov3,,1,-0.3182293100000493
scene-0770,scene-0245,AB-AA,co_runner,,throughput_hz,centerpoint,False,centerpoint+yolov3,,1,-0.07787941035147838
scene-0770,scene-0245,BB-BA,co_runner,,throughput_hz,centerpoint,False,centerpoint+yolov3,,1,-0.05955342997030222
scene-0770,scene-0245,BA-AA,own_input,2.136633366248936,throughput_hz,centerpoint,False,centerpoint+yolov3,-0.3056862073857429,1,1.830947158863193
scene-0770,scene-0245,BB-AB,own_input,2.136633366248936,throughput_hz,centerpoint,False,centerpoint+yolov3,-0.28736022700456676,1,1.849273139244369
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,throughput_hz,centerpoint,False,centerpoint+yolov3,,1,0.018325980381176166
scene-0770,scene-0245,AB-AA,co_runner,,analysis_count,centerpoint,False,centerpoint+yolov3,,1,-2
scene-0770,scene-0245,BB-BA,co_runner,,analysis_count,centerpoint,False,centerpoint+yolov3,,1,-1
scene-0770,scene-0245,BA-AA,own_input,41,analysis_count,centerpoint,False,centerpoint+yolov3,-6,1,35
scene-0770,scene-0245,BB-AB,own_input,41,analysis_count,centerpoint,False,centerpoint+yolov3,-5,1,36
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,analysis_count,centerpoint,False,centerpoint+yolov3,,1,1
scene-0770,scene-0245,AB-AA,co_runner,,analysis_unique_source_count,centerpoint,False,centerpoint+yolov3,,1,-2
scene-0770,scene-0245,BB-BA,co_runner,,analysis_unique_source_count,centerpoint,False,centerpoint+yolov3,,1,-1
scene-0770,scene-0245,BA-AA,own_input,41,analysis_unique_source_count,centerpoint,False,centerpoint+yolov3,-6,1,35
scene-0770,scene-0245,BB-AB,own_input,41,analysis_unique_source_count,centerpoint,False,centerpoint+yolov3,-5,1,36
scene-0770,scene-0245,BB-BA-AB+AA,interaction,,analysis_unique_source_count,centerpoint,False,centerpoint+yolov3,,1,1
scene-0245,scene-0398,BA-AA,co_runner,,R,vit-upernet,False,pointpillars+vit-upernet,,1,0.05330757798664559
scene-0245,scene-0398,BB-AB,co_runner,,R,vit-upernet,False,pointpillars+vit-upernet,,1,0.02061386698854345
scene-0245,scene-0398,AB-AA,own_input,-0.0056087843004737695,R,vit-upernet,False,pointpillars+vit-upernet,0.05243105699436349,1,0.04682227269388972
scene-0245,scene-0398,BB-BA,own_input,-0.0056087843004737695,R,vit-upernet,False,pointpillars+vit-upernet,0.019737345996261348,1,0.014128561695787578
scene-0245,scene-0398,BB-BA-AB+AA,interaction,,R,vit-upernet,False,pointpillars+vit-upernet,,1,-0.03269371099810214
