A,B,contrast,effect,executions,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.09459600000000279,0.009845666666673006,P50_ms,-0.08348399999999856,3dssd,False,3dssd+yolov3,0.17808000000000135,0.08934945618375952
scene-0770,scene-0398,AB-AA,co_runner,3,0.19231484000000165,0.07594779000000074,P99_ms,-0.08626197000000246,3dssd,False,3dssd+yolov3,0.2785768100000041,0.1448358564463677
scene-0770,scene-0398,BB-BA,co_runner,3,0.7202767999999864,0.15129175999999234,P99_ms,-0.24152970000000096,3dssd,False,3dssd+yolov3,0.9618064999999874,0.5045226863574808
scene-0770,scene-0398,BA-AA,own_input,3,0.4558082400000032,0.05400234000000618,P99_ms,-0.3380865199999974,3dssd,False,3dssd+yolov3,0.7938947600000006,0.39703657027865297
scene-0770,scene-0398,BB-AB,own_input,3,0.46845224999999147,0.12934630999999777,P99_ms,-0.10237701999999871,3dssd,False,3dssd+yolov3,0.5708292699999902,0.30018291518670587
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.8065387699999889,0.0753439699999916,P99_ms,-0.4338445400000026,3dssd,False,3dssd+yolov3,1.2403833099999915,0.6493094666885028
scene-0770,scene-0398,AB-AA,co_runner,3,0.3638960000000111,0.17442662333333914,P99_minus_P50_ms,-0.1360659699999971,3dssd,False,3dssd+yolov3,0.4999619700000082,0.27106356651315583
scene-0770,scene-0398,BB-BA,co_runner,3,0.575876799999989,0.23992492666665774,P99_minus_P50_ms,-0.054910700000000645,3dssd,False,3dssd+yolov3,0.6307874999999896,0.31739742728009823
scene-0770,scene-0398,BA-AA,own_input,3,0.2246922400000031,-0.06397449333332617,P99_minus_P50_ms,-0.37532151999999996,3dssd,False,3dssd+yolov3,0.6000137600000031,0.30064917233646304
scene-0770,scene-0398,BB-AB,own_input,3,0.3366212499999861,0.0015238099999924277,P99_minus_P50_ms,-0.20638152000000787,3dssd,False,3dssd+yolov3,0.543002769999994,0.2929955233303137
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.7119427699999861,0.06549830333331859,P99_minus_P50_ms,-0.35036054000000405,3dssd,False,3dssd+yolov3,1.0623033099999901,0.5674498901887761
scene-0770,scene-0398,AB-AA,co_runner,3,0.0442540679824468,0.00958086269834979,throughput_hz,-0.05881330577323496,3dssd,False,3dssd+yolov3,0.10306737375568176,0.059233000953372916
scene-0770,scene-0398,BB-BA,co_runner,3,0.09484182668155228,0.0437854425010021,throughput_hz,-0.007655089218154387,3dssd,False,3dssd+yolov3,0.10249691589970666,0.05124953774656361
scene-0770,scene-0398,BA-AA,own_input,3,-0.05180497255289751,-0.13791554617752175,throughput_hz,-0.20681309556008998,3dssd,False,3dssd+yolov3,0.15500812300719247,0.07892462038059754
scene-0770,scene-0398,BB-AB,own_input,3,-0.05093720839912663,-0.10371096637486943,throughput_hz,-0.1562253368609845,3dssd,False,3dssd+yolov3,0.10528812846185787,0.052644543498376946
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,0.05115821655508057,0.03420457980265231,throughput_hz,0.000867764153770878,3dssd,False,3dssd+yolov3,0.05029045240130969,0.02887193817094707
scene-0770,scene-0398,AB-AA,co_runner,3,1.0,0.3333333333333333,analysis_count,-1.0,3dssd,False,3dssd+yolov3,2.0,1.1547005383792517
scene-0770,scene-0398,BB-BA,co_runner,3,2.0,1.0,analysis_count,0.0,3dssd,False,3dssd+yolov3,2.0,1.0
scene-0770,scene-0398,BA-AA,own_input,3,-1.0,-2.6666666666666665,analysis_count,-4.0,3dssd,False,3dssd+yolov3,3.0,1.5275252316519465
scene-0770,scene-0398,BB-AB,own_input,3,-1.0,-2.0,analysis_count,-3.0,3dssd,False,3dssd+yolov3,2.0,1.0
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,1.0,0.6666666666666666,analysis_count,0.0,3dssd,False,3dssd+yolov3,1.0,0.5773502691896258
scene-0770,scene-0398,AB-AA,co_runner,3,1.0,0.3333333333333333,analysis_unique_source_count,-1.0,3dssd,False,3dssd+yolov3,2.0,1.1547005383792517
scene-0770,scene-0398,BB-BA,co_runner,3,2.0,1.0,analysis_unique_source_count,0.0,3dssd,False,3dssd+yolov3,2.0,1.0
scene-0770,scene-0398,BA-AA,own_input,3,-1.0,-2.6666666666666665,analysis_unique_source_count,-4.0,3dssd,False,3dssd+yolov3,3.0,1.5275252316519465
scene-0770,scene-0398,BB-AB,own_input,3,-1.0,-2.0,analysis_unique_source_count,-3.0,3dssd,False,3dssd+yolov3,2.0,1.0
scene-0770,scene-0398,BB-BA-AB+AA,interaction,3,1.0,0.6666666666666666,analysis_unique_source_count,0.0,3dssd,False,3dssd+yolov3,1.0,0.5773502691896258
scene-0245,scene-0184,BA-AA,co_runner,3,0.3648416124352355,0.34020166895848725,R,0.32577140282207884,dino,False,centerpoint+dino,0.03907020961315666,0.021442911494230162
scene-0245,scene-0184,BB-AB,co_runner,3,0.4374438110562071,0.3608372306090965,R,0.3222625549414721,dino,False,centerpoint+dino,0.11518125611473501,0.06634379983019494
scene-0245,scene-0184,AB-AA,own_input,3,0.026771062662778178,-0.01338310873182876,R,-0.09110022641633742,dino,False,centerpoint+dino,0.1178712890791156,0.06731746725610405
scene-0245,scene-0184,BB-BA,own_input,3,0.021213760565604423,0.007252452918780554,R,-0.0184980277953658,dino,False,centerpoint+dino,0.039711788360970224,0.0223270012521853
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,0.07260219862097161,0.020635561650609313,R,-0.007729436676675139,dino,False,centerpoint+dino,0.08033163529764675,0.04506740415618977
scene-0245,scene-0184,BA-AA,co_runner,3,-1.8808725000000095,-3.228732833333344,P50_ms,-5.557900500000017,dino,False,centerpoint+dino,3.677028000000007,2.025427557341006
scene-0245,scene-0184,BB-AB,co_runner,3,-2.092658,-5.391166000000003,P50_ms,-9.602277000000015,dino,False,centerpoint+dino,7.509619000000015,3.8370858158239134
scene-0245,scene-0184,AB-AA,own_input,3,5.915224499999994,2.2007978333333305,P50_ms,-0.869512499999999,dino,False,centerpoint+dino,6.784736999999993,3.4379250177894094
scene-0245,scene-0184,BB-BA,own_input,3,1.8708479999999952,0.03836466666667112,P50_ms,-1.0812979999999897,dino,False,centerpoint+dino,2.952145999999985,1.5999613990497732
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,-0.21178549999999063,-2.162433166666659,P50_ms,-4.0443764999999985,dino,False,centerpoint+dino,3.832591000000008,1.9172189904610135
scene-0245,scene-0184,BA-AA,co_runner,3,28.550529119999993,26.869401609999993,P99_ms,24.961362169999973,dino,False,centerpoint+dino,3.5891669500000205,1.805310670418076
scene-0245,scene-0184,BB-AB,co_runner,3,27.31588479000007,25.883364990000036,P99_ms,23.225084720000012,dino,False,centerpoint+dino,4.090800070000057,2.3044582553257653
scene-0245,scene-0184,AB-AA,own_input,3,4.628017260000007,1.7653390766666253,P99_ms,-0.6435632100000817,dino,False,centerpoint+dino,5.271580470000089,2.6649248744042153
scene-0245,scene-0184,BB-BA,own_input,3,1.7109594100000152,0.7793024566666702,P99_ms,-0.1298404800000128,dino,False,centerpoint+dino,1.840799890000028,0.9206064411386001
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,2.354522620000097,-0.9860366199999552,P99_ms,-3.871228819999999,dino,False,centerpoint+dino,6.225751440000096,3.1377563009266023
scene-0245,scene-0184,BA-AA,co_runner,3,30.51926266999999,30.098134443333336,P99_minus_P50_ms,29.343739040000017,dino,False,centerpoint+dino,1.1755236299999723,0.6548008929854985
scene-0245,scene-0184,BB-AB,co_runner,3,36.918161790000084,31.27453099000004,P99_minus_P50_ms,27.703647720000006,dino,False,centerpoint+dino,9.214514070000078,4.9445959520367495
scene-0245,scene-0184,AB-AA,own_input,3,3.071335760000011,-0.43545875666670497,P99_minus_P50_ms,-6.558787710000075,dino,False,centerpoint+dino,9.630123470000086,5.321607732213874
scene-0245,scene-0184,BB-BA,own_input,3,1.4312444400000004,0.740937789999999,P99_minus_P50_ms,-0.15988858999998,dino,False,centerpoint+dino,1.5911330299999804,0.8161893146376503
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,6.398899120000095,1.1763965466667041,P99_minus_P50_ms,-1.6400913200000105,dino,False,centerpoint+dino,8.038990440000106,4.5274741192110115
scene-0245,scene-0184,BA-AA,co_runner,3,0.09700261535082788,-0.0826441728939938,throughput_hz,-0.20199669001705267,dino,False,centerpoint+dino,0.29899930536788055,0.15835622974861852
scene-0245,scene-0184,BB-AB,co_runner,3,-0.04580701215663119,-0.08877965655301463,throughput_hz,-0.1679048468808233,dino,False,centerpoint+dino,0.12209783472419211,0.06860922127583792
scene-0245,scene-0184,AB-AA,own_input,3,0.03043090499104295,-0.012498799818918846,throughput_hz,-0.08763334432078551,dino,False,centerpoint+dino,0.11806424931182846,0.06528901527881521
scene-0245,scene-0184,BB-BA,own_input,3,0.06452274812727232,-0.01863428347793968,throughput_hz,-0.12992368609943128,dino,False,centerpoint+dino,0.1944464342267036,0.10022937029692519
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,0.09713143185912543,-0.006135483659020835,throughput_hz,-0.1496297259724173,dino,False,centerpoint+dino,0.24676115783154273,0.12820470201755385
scene-0245,scene-0184,BA-AA,co_runner,3,2.0,-1.3333333333333333,analysis_count,-3.0,dino,False,centerpoint+dino,5.0,2.8867513459481287
scene-0245,scene-0184,BB-AB,co_runner,3,-1.0,-2.0,analysis_count,-4.0,dino,False,centerpoint+dino,3.0,1.7320508075688772
scene-0245,scene-0184,AB-AA,own_input,3,1.0,-0.3333333333333333,analysis_count,-3.0,dino,False,centerpoint+dino,4.0,2.3094010767585034
scene-0245,scene-0184,BB-BA,own_input,3,0.0,-1.0,analysis_count,-2.0,dino,False,centerpoint+dino,2.0,1.0
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,2.0,-0.6666666666666666,analysis_count,-3.0,dino,False,centerpoint+dino,5.0,2.5166114784235836
scene-0245,scene-0184,BA-AA,co_runner,3,2.0,-1.3333333333333333,analysis_unique_source_count,-3.0,dino,False,centerpoint+dino,5.0,2.8867513459481287
scene-0245,scene-0184,BB-AB,co_runner,3,-1.0,-2.0,analysis_unique_source_count,-4.0,dino,False,centerpoint+dino,3.0,1.7320508075688772
scene-0245,scene-0184,AB-AA,own_input,3,1.0,-0.3333333333333333,analysis_unique_source_count,-3.0,dino,False,centerpoint+dino,4.0,2.3094010767585034
scene-0245,scene-0184,BB-BA,own_input,3,0.0,-1.0,analysis_unique_source_count,-2.0,dino,False,centerpoint+dino,2.0,1.0
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,2.0,-0.6666666666666666,analysis_unique_source_count,-3.0,dino,False,centerpoint+dino,5.0,2.5166114784235836
scene-0245,scene-0184,AB-AA,co_runner,3,0.11162979974304064,0.018719243897839324,R,-0.048030242612194504,centerpoint,False,centerpoint+dino,0.15966004235523515,0.08298272978631428
scene-0245,scene-0184,BB-BA,co_runner,3,0.017390697988708785,-0.0036778664733289543,R,-0.034081324628194035,centerpoint,False,centerpoint+dino,0.05147202261690282,0.0269758680724278
scene-0245,scene-0184,BA-AA,own_input,3,0.013197751697802906,-0.025811875523075872,R,-0.0472540747042797,centerpoint,False,centerpoint+dino,0.060451826402082603,0.03383883456597983
