P50_ms,P99_ms,calls_max,calls_min,count,covariance_share,execution_id,first_difference_pearson,kernel_name,mean_ms,module,mps_enabled,pearson,scene_id,std_ms,total_latency_endpoint_gap_ms
0.005664000000000001,0.006304000000000001,2,2,226,5.568704955259738e-05,i2-i30-0770,0.06471956938365375,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",0.005650340707964602,bbox_head,False,0.15437109203098776,scene-0770,0.00017604055704124722,9.55000000000001e-05
0.003072,0.003168,2,2,226,4.0299393834744034e-05,i2-i30-0770,0.11608857422964998,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.003031676991150442,bbox_head,False,0.21152564763932627,scene-0770,9.29736717027185e-05,-5.5249999999999744e-05
0.007936,0.008095999999999999,6,6,226,0.00011530927317691019,i2-i30-0770,0.13765082448159446,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.007843097345132744,bbox_head,False,0.2331170008975335,scene-0770,0.00024138750708564515,-7.999999999999848e-05
0.001568,0.001656,1,1,226,2.1045783552638686e-05,i2-i30-0770,0.10342904140702049,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.0015453539823008847,bbox_head,False,0.18573815475093997,scene-0770,5.529533263825173e-05,2.4250000000000183e-05
0.005344,0.0054719999999999994,4,4,226,7.493112481070773e-05,i2-i30-0770,0.129262337872625,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.005290548672566371,bbox_head,False,0.22447307019710905,scene-0770,0.00016290053380565411,3.275000000000066e-05
0.006464,0.006592,5,5,226,8.5563276526495e-05,i2-i30-0770,0.11404507168184028,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.006393283185840709,bbox_head,False,0.21397602113349415,scene-0770,0.00019514022500857954,-3.199999999999904e-05
0.003584,0.00368075,1,1,226,5.4375393241464484e-05,i2-i30-0770,0.13367225029439853,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)",0.0035417035398230086,bbox_head,False,0.21582552471257346,scene-0770,0.00012294874709507377,-7.249999999999965e-05
0.00112,0.001152,1,1,226,2.010496216809138e-05,i2-i30-0770,0.16566794640807558,"void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsigned int, unsigned int *)",0.0011008982300884955,bbox_head,False,0.2676943529403061,scene-0770,3.6651229880246415e-05,-1.5999999999999955e-05
0.0060160000000000005,0.006144,4,4,226,8.113495165817787e-05,i2-i30-0770,0.12098243113599776,"void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int>(T1 *, short *, unsigned int, int, bool, unsigned int *, unsigned int)",0.00594429203539823,bbox_head,False,0.21588585017567963,scene-0770,0.00018340378980150965,-5.5999999999999626e-05
0.0008,0.000832,1,1,226,1.5023576872685363e-05,i2-i30-0770,0.1840271860491962,"void at::native::mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)",0.0007956150442477876,bbox_head,False,0.25348263223822276,scene-0770,2.8923419549724214e-05,-7.999999999999978e-06
0.003888,0.00403275,1,1,226,3.987089842476143e-05,i2-i30-0770,0.07081055602215379,"void at::native::mbtopk::gatherTopK<float, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, unsigned int, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, unsigned int, unsigned int, T1 *, unsigned int *, unsigned int *, unsigned int)",0.0038299734513274337,bbox_head,False,0.12330647226868353,scene-0770,0.00015779551347845433,0.00029600000000000026
0.016256,0.016576,4,4,226,0.00022375817502225362,i2-i30-0770,0.10720540270365783,"void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, unsigned int *, T3 *, short *, T1 *)",0.016060362831858407,bbox_head,False,0.22010316598805468,scene-0770,0.0004961090206682803,-0.0001684999999999985
0.013568,0.013904,1,1,226,0.00021338284904995163,i2-i30-0770,0.14406575475986538,"void at::native::radixSortKVInPlace<(int)-2, (int)-1, (int)32, (int)32, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)",0.01338795575221239,bbox_head,False,0.23824977084210464,scene-0770,0.0004370705252700443,-0.00018300000000000087
0.037984500000000004,0.03869675,30,30,226,0.0005592343021909759,i2-i30-0770,0.14392052896545351,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",0.03755454867256637,bbox_head,False,0.24397307962261278,scene-0770,0.0011186040723329374,-0.00023825000000000235
0.001408,0.001472,1,1,226,1.996785994223147e-05,i2-i30-0770,0.11343644693108522,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)",0.0014026238938053097,bbox_head,False,0.21035085680913101,scene-0770,4.632460645919555e-05,-2.3999999999999933e-05
0.001344,0.001408,1,1,226,1.9290885966302614e-05,i2-i30-0770,0.11177755210856981,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)",0.001337079646017699,bbox_head,False,0.2074510204286754,scene-0770,4.5379645663916985e-05,0.0
0.006496,0.006624,6,6,226,9.171512568223613e-05,i2-i30-0770,0.12824489573738454,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",0.006415482300884956,bbox_head,False,0.22079025283085668,scene-0770,0.0002027148530168522,-0.00010399999999999819
0.0057605,0.005952,6,6,226,9.538084520495692e-05,i2-i30-0770,0.1584660571108551,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)",0.005722522123893805,bbox_head,False,0.25632831164053377,scene-0770,0.0001815888138023484,-0.00011199999999999925
0.005984,0.006111999999999999,6,6,226,8.898349241152505e-05,i2-i30-0770,0.13394929176569154,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",0.005906619469026549,bbox_head,False,0.2322530331838017,scene-0770,0.00018697026968170831,-0.00011199999999999925
0.006272,0.0063999999999999994,6,6,226,9.46932170111786e-05,i2-i30-0770,0.1465036905079015,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",0.006183734513274336,bbox_head,False,0.23592018574741222,scene-0770,0.0001958746672467139,-7.199999999999915e-05
0.0078885,0.008063999999999998,7,7,226,0.0001220246766762737,i2-i30-0770,0.13442487953213603,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",0.00778925221238938,bbox_head,False,0.23839944523506748,scene-0770,0.0002497853292833544,-8.049999999999898e-05
0.0016,0.001664,2,2,226,2.2757812232528305e-05,i2-i30-0770,0.11333644892453301,"void at_cuda_detail::cub::DeviceScanByKeyInitKernel<at_cuda_detail::cub::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, at_cuda_detail::cub::TransformInputIterator<unsigned int, at::native::mbtopk::BlockIdxToKey, at_cuda_detail::cub::CountingInputIterator<unsigned int, unsigned int>, long>>(T1, T2, std::iterator_traits<T2>::value_type *, unsigned int, int)",0.0015821946902654868,bbox_head,False,0.20597076504491918,scene-0770,5.391994367383021e-05,-2.3999999999999933e-05
0.004224,0.004344,2,2,226,6.306194115954271e-05,i2-i30-0770,0.12440592894829164,"void at_cuda_detail::cub::DeviceScanByKeyKernel<at_cuda_detail::cub::DeviceScanByKeyPolicy<at_cuda_detail::cub::TransformInputIterator<unsigned int, at::native::mbtopk::BlockIdxToKey, at_cuda_detail::cub::CountingInputIterator<unsigned int, unsigned int>, long>, unsigned int, unsigned int, cuda::std::__4::plus<void>>::Policy900, at_cuda_detail::cub::TransformInputIterator<unsigned int, at::native::mbtopk::BlockIdxToKey, at_cuda_detail::cub::CountingInputIterator<unsigned int, unsigned int>, long>, unsigned int *, unsigned int *, at_cuda_detail::cub::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, cuda::std::__4::equal_to<void>, cuda::std::__4::plus<void>, at_cuda_detail::cub::NullType, int, unsigned int, unsigned int>(T2, T11 *, T3, T4, T5, int, T6, T7, T8, T9)",0.004181132743362832,bbox_head,False,0.2283324182254893,scene-0770,0.00013477963032625166,-1.600000000000039e-05
0.009856,0.010048000000000001,6,6,226,0.00015344581369415342,i2-i30-0770,0.14350295443695218,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, (bool)0, float, float, float, (bool)1, (bool)1, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",0.009732358407079646,bbox_head,False,0.24336039106139845,scene-0770,0.00030770152737912254,-8.000000000000021e-05
0.0207045,0.036937,1,1,226,4.1029334874794855e-05,i2-i30-0770,0.05515973795390081,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",0.021616402654867257,data_preprocessor,False,0.0052989809767396276,scene-0770,0.0037785625716376015,0.00023149999999999907
