count,execution_id,first_difference_pearson,max,mean,metric,min,mps_enabled,pearson,scene_id,timing
188,i2-i20-0245,0.24121112771779943,15182.0,11424.404255319148,occupied_voxels,9689.0,False,0.8699631407594991,scene-0245,module:data_preprocessor
188,i2-i20-0245,0.155766441797067,15182.0,11424.404255319148,occupied_voxels,9689.0,False,0.7814686994187778,scene-0245,kernel:point_to_voxelidx_kernel
188,i2-i20-0245,0.24709530987888242,15182.0,11424.404255319148,occupied_voxels,9689.0,False,0.9235784393436397,scene-0245,kernel:determin_voxel_num
188,i2-i20-0245,0.29431082423741173,21344521939.0,15234967717.079786,point_scan_iterations,12577099059.0,False,0.948200273947217,scene-0245,latency_ms
188,i2-i20-0245,0.32869574872033436,21344521939.0,15234967717.079786,point_scan_iterations,12577099059.0,False,0.9455765859281283,scene-0245,module:data_preprocessor
188,i2-i20-0245,0.2639927936055089,21344521939.0,15234967717.079786,point_scan_iterations,12577099059.0,False,0.8895561401300975,scene-0245,kernel:point_to_voxelidx_kernel
188,i2-i20-0245,0.21015854501197226,21344521939.0,15234967717.079786,point_scan_iterations,12577099059.0,False,0.91944311759675,scene-0245,kernel:determin_voxel_num
146,i2-i21-0770,0.05446735615137812,34784.0,34723.068493150684,raw_points,34656.0,True,0.07596880109833726,scene-0770,latency_ms
146,i2-i21-0770,0.021062922427729877,34784.0,34723.068493150684,raw_points,34656.0,True,0.06631114174401401,scene-0770,module:data_preprocessor
146,i2-i21-0770,0.07725866292705885,34784.0,34723.068493150684,raw_points,34656.0,True,0.20139700904988236,scene-0770,kernel:point_to_voxelidx_kernel
146,i2-i21-0770,-0.022734753017796722,34784.0,34723.068493150684,raw_points,34656.0,True,-0.04769811401990626,scene-0770,kernel:determin_voxel_num
146,i2-i21-0770,0.028217012603428477,260207.0,259334.6301369863,voxel_input_points,257482.0,True,0.16515005313232456,scene-0770,latency_ms
146,i2-i21-0770,0.0033666552242448316,260207.0,259334.6301369863,voxel_input_points,257482.0,True,0.1586470516516147,scene-0770,module:data_preprocessor
146,i2-i21-0770,0.10283918341901249,260207.0,259334.6301369863,voxel_input_points,257482.0,True,0.2690223733624436,scene-0770,kernel:point_to_voxelidx_kernel
146,i2-i21-0770,-0.06295153769054693,260207.0,259334.6301369863,voxel_input_points,257482.0,True,0.03162479640865794,scene-0770,kernel:determin_voxel_num
146,i2-i21-0770,0.00521104574854282,17831.0,17701.390410958906,occupied_voxels,17320.0,True,0.1864252754651124,scene-0770,latency_ms
146,i2-i21-0770,-0.015261810410863282,17831.0,17701.390410958906,occupied_voxels,17320.0,True,0.18359634124665342,scene-0770,module:data_preprocessor
146,i2-i21-0770,-0.03530492191034501,17831.0,17701.390410958906,occupied_voxels,17320.0,True,0.2512115196604182,scene-0770,kernel:point_to_voxelidx_kernel
146,i2-i21-0770,0.0029054949189964816,17831.0,17701.390410958906,occupied_voxels,17320.0,True,0.07785818417013537,scene-0770,kernel:determin_voxel_num
146,i2-i21-0770,0.04889801507996298,27376772622.0,27150012881.945206,point_scan_iterations,26566154383.0,True,0.1853788182073713,scene-0770,latency_ms
146,i2-i21-0770,0.03459117083746699,27376772622.0,27150012881.945206,point_scan_iterations,26566154383.0,True,0.18299561436209094,scene-0770,module:data_preprocessor
146,i2-i21-0770,0.043709171407624724,27376772622.0,27150012881.945206,point_scan_iterations,26566154383.0,True,0.2690835905086253,scene-0770,kernel:point_to_voxelidx_kernel
146,i2-i21-0770,0.01711332579708673,27376772622.0,27150012881.945206,point_scan_iterations,26566154383.0,True,0.06479390273821593,scene-0770,kernel:determin_voxel_num
146,i2-i21-0398,0.07307844574156483,34816.0,34718.02739726027,raw_points,34464.0,True,-0.13783357942593566,scene-0398,latency_ms
