component,count,covariance_share,execution_id,first_difference_pearson,mean,mps_enabled,pearson,scene_id,std,total_latency_endpoint_gap,units
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,2.388135815941395e-07,i2-i20-0770,-0.004083838782134843,0.0014968299319727892,False,0.0249925547857165,scene-0770,1.6188672511433618e-05,-2.559999999999325e-06,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,3.156540661493221e-05,i2-i20-0770,0.06174962941349161,0.2195846054421768,False,0.06602547646323656,scene-0770,0.0008099583978383583,0.00023232000000000808,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::CompareFunctor<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,2.3408620671613043e-06,i2-i20-0770,0.031475656022506016,0.0203287074829932,False,0.03411924261832781,scene-0770,0.00011623563979094468,-0.00016922000000000118,ms
"kernel:void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)",147,4.13650950245406e-05,i2-i20-0770,-0.131457189697934,0.07469886394557823,False,0.08121216139771696,scene-0770,0.0008629305128019103,0.000329060000000006,ms
"kernel:void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)",147,7.354156427170376e-06,i2-i20-0770,0.03508616185697194,0.010568149659863945,False,0.14530467246716045,scene-0770,8.574645061109723e-05,0.0001427200000000007,ms
"kernel:void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsigned int, unsigned int *)",147,4.0980232643960846e-07,i2-i20-0770,-0.032250965454692485,0.005988414965986393,False,0.017521481356072344,scene-0770,3.9624743787650284e-05,-3.199999999999991e-05,ms
"kernel:void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int>(T1 *, short *, unsigned int, int, bool, unsigned int *, unsigned int)",147,-3.528559018600965e-06,i2-i20-0770,-0.021400557764478346,0.031553952380952384,False,-0.04105328990574487,scene-0770,0.00014561706996695027,-0.00016768000000000338,ms
"kernel:void at::native::mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)",147,5.117312488463807e-06,i2-i20-0770,0.18435770527430972,0.004376231292517007,False,0.22182410940220698,scene-0770,3.908373498664463e-05,7.872e-05,ms
"kernel:void at::native::mbtopk::gatherTopK<float, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, unsigned int, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, unsigned int, unsigned int, T1 *, unsigned int *, unsigned int *, unsigned int)",147,-2.898440243976034e-07,i2-i20-0770,-0.07402860868141925,0.006900074829931974,False,-0.005558073264232224,scene-0770,8.834926734238975e-05,5.183999999999831e-05,ms
"kernel:void at::native::mbtopk::gatherTopK<float, unsigned int, (int)2>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, unsigned int, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, unsigned int, unsigned int, T1 *, unsigned int *, unsigned int *, unsigned int)",147,-1.8581721944638797e-06,i2-i20-0770,0.013175137878855256,0.014286102040816324,False,-0.03285748578979983,scene-0770,9.581080667705071e-05,-3.8679999999997536e-05,ms
