analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,mask-rcnn,mask-rcnn,scene-0398,69,26.97524100000004,centerpoint,319.388351,273.879355,147.233279,off,0.6277115180149303,147.233279,171.91722567999997,202.87136316000002,259.049694,273.879355,233.5347424,286.024935,309.4370702,319.15050468,centerpoint+mask-rcnn,171.91722567999997,69,centerpoint,171.91722567999997
single-run exploratory descriptive,mask-rcnn,mask-rcnn,scene-0434,71,33.545387999999974,centerpoint,300.816468,263.789476,144.643929,off,0.5918560056580876,144.643929,156.12538559999996,196.6735605,253.006812,263.789476,222.1458715,286.55219999999997,298.785974,300.7693146,centerpoint+mask-rcnn,156.12538559999996,71,centerpoint,156.12538559999996
single-run exploratory descriptive,mask-rcnn,mask-rcnn,scene-0738,74,35.867789000000016,centerpoint,301.437666,260.45077200000003,140.955443,off,0.6089513009391269,140.955443,158.60183643999994,192.97355305000002,234.8932585,260.45077200000003,217.87310775,270.7610475,291.53293145,299.55727943999995,centerpoint+mask-rcnn,158.60183643999994,74,centerpoint,158.60183643999994
single-run exploratory descriptive,mask-rcnn,mask-rcnn,scene-0770,69,18.347159000000033,centerpoint,313.565187,274.173108,148.933979,off,0.5925235233500725,148.933979,162.45401595999996,182.0537632,262.419245,274.173108,238.772538,280.766404,305.83263359999995,311.38799495999996,centerpoint+mask-rcnn,162.45401595999996,69,centerpoint,162.45401595999996
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0184,231,53.739875000000005,centerpoint,129.753567,61.76555,39.834473,off,1.4419112482605592,39.834473,89.06044129999998,40.9319201,49.67745,61.76555,42.828277,103.417325,126.0168285,128.89491429999998,centerpoint+mask-rcnn,89.06044129999998,231,mask-rcnn,89.06044129999998
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0245,213,51.664574,centerpoint,130.758212,71.848346,49.86939,off,1.0636108032326868,49.86939,76.418677,50.259406320000004,54.548096,71.848346,51.359629,106.21267,116.8509656,126.288067,centerpoint+mask-rcnn,76.418677,213,mask-rcnn,76.418677
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0252-fixed,397,72.55402899999999,centerpoint,145.922746,71.83514,48.69889,off,1.3481674188983277,48.69889,96.84579528,52.01749068,55.497159,71.83514,53.1283522,128.051188,143.5207452,145.54468528,centerpoint+mask-rcnn,96.84579528,397,mask-rcnn,96.84579528
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0398,202,67.779638,centerpoint,150.298825,72.890165,45.917514,off,1.4030303099190409,45.917514,102.26711079000002,47.020967,55.55845375,72.890165,50.10039485,123.33809175,143.0806414,148.18462479000002,centerpoint+mask-rcnn,102.26711079000002,202,mask-rcnn,102.26711079000002
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0434,230,66.71455700000001,centerpoint,130.053412,60.673842,41.507137,off,1.4529333753085885,41.507137,88.15505005,41.772930849999995,47.979879249999996,60.673842,43.2869678,114.69443625000001,128.2182036,129.66218705,centerpoint+mask-rcnn,88.15505005,230,mask-rcnn,88.15505005
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0738,211,64.15503,centerpoint,142.464078,67.106937,42.879595,off,1.4617005884205385,42.879595,98.09024930000001,44.3168737,51.3832005,67.106937,45.776343,115.5382305,134.2844905,140.9698443,centerpoint+mask-rcnn,98.09024930000001,211,mask-rcnn,98.09024930000001
single-run exploratory descriptive,mask-rcnn,centerpoint,scene-0770,203,69.117068,centerpoint,144.251686,69.432096,45.896476,off,1.4114998466991402,45.896476,98.00339285999999,47.55812212,52.9143945,69.432096,49.729695299999996,122.0314625,140.1071782,143.89986886,centerpoint+mask-rcnn,98.00339285999999,203,mask-rcnn,98.00339285999999
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0184,64,41.517112,centerpoint,357.007733,301.4870555,151.260375,off,0.6810893812321571,151.260375,205.33963208,181.49290824000002,274.224802,301.4870555,252.95200004999998,315.741914,337.31122619999996,356.60000708,centerpoint+vit-upernet,205.33963208,64,centerpoint,205.33963208
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0245,86,39.15996950000002,centerpoint,276.112373,224.3137635,111.264852,off,0.7059493404647906,111.264852,158.35415340000003,133.9235672,190.89629725,224.3137635,149.91517975,230.05626675000002,265.61908225,269.61900540000005,centerpoint+vit-upernet,158.35415340000003,86,centerpoint,158.35415340000003
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0252-fixed,141,37.01655500000001,centerpoint,336.115787,258.264435,137.438091,off,0.7631643141263333,137.438091,197.0982004,157.2153742,249.566857,258.264435,211.647727,286.583412,303.909886,334.5362914,centerpoint+vit-upernet,197.0982004,141,centerpoint,197.0982004
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0398,67,40.75139850000005,centerpoint,355.32374,289.144923,151.256222,off,0.6860333704009045,151.256222,198.36306606000002,190.47433082,261.70476099999996,289.144923,218.8451287,302.4561595,340.5418098,349.61928806000003,centerpoint+vit-upernet,198.36306606000002,67,centerpoint,198.36306606000002
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0434,72,37.187592249999966,centerpoint,334.113106,260.154635,139.174746,off,0.7430791701251067,139.174746,193.31549028000003,166.50364639,250.438445,260.154635,217.8831531,287.62603724999997,302.08083220000003,332.49023628000003,centerpoint+vit-upernet,193.31549028000003,72,centerpoint,193.31549028000003
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0738,71,38.82812900000002,centerpoint,336.685005,262.086571,143.335807,off,0.6571608550672361,143.335807,172.23303509999988,161.6645538,252.0728715,262.086571,220.94959749999998,290.9010005,304.4361765,315.56884209999987,centerpoint+vit-upernet,172.23303509999988,71,centerpoint,172.23303509999988
single-run exploratory descriptive,vit-upernet,vit-upernet,scene-0770,67,41.35247800000002,centerpoint,308.668036,281.657699,143.114759,off,0.5875739956961021,143.114759,165.49473962000002,186.35482466,261.7589025,281.657699,251.0994451,303.1113805,307.756203,308.60949862,centerpoint+vit-upernet,165.49473962000002,67,centerpoint,165.49473962000002
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0184,235,34.756677999999994,centerpoint,77.543717,60.665948,36.960385,off,0.6678936925208852,36.960385,40.518404020000006,38.832031119999996,40.8636805,60.665948,39.387823600000004,75.6203585,77.0442659,77.47878902000001,centerpoint+vit-upernet,40.518404020000006,235,vit-upernet,40.518404020000006
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0245,231,27.454279500000013,centerpoint,77.517433,56.029552,36.892512,off,0.7188950859360789,36.892512,40.2793696,38.8485736,40.2744625,56.029552,39.069527,67.72874200000001,76.802617,77.1718816,centerpoint+vit-upernet,40.2793696,231,vit-upernet,40.2793696
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0252-fixed,457,32.856667,centerpoint,76.408109,57.444397,35.77325,off,0.6811344027164217,35.77325,39.127355040000005,37.968968,39.98134,57.444397,38.424067,72.838007,74.2657538,74.90060504,centerpoint+vit-upernet,39.127355040000005,457,vit-upernet,39.127355040000005
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0398,234,35.387961999999995,centerpoint,77.609955,59.1900485,36.74478,off,0.6883371560339235,36.74478,40.74270965,38.6719695,40.1800605,59.1900485,39.227718450000005,75.5680225,76.73425555,77.48748965,centerpoint+vit-upernet,40.74270965,234,vit-upernet,40.74270965
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0434,238,32.28106724999999,centerpoint,75.230204,57.4078785,35.593598,off,0.6869468095742295,35.593598,39.43615898,37.94102671,40.8684075,57.4078785,38.3103523,73.14947475,74.7295173,75.02975698,centerpoint+vit-upernet,39.43615898,238,vit-upernet,39.43615898
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0738,237,32.325666,centerpoint,77.575304,59.124556,36.827303,off,0.6836139846868364,36.827303,40.41837332,39.1108554,40.595698,59.124556,39.392408800000005,72.921364,76.829368,77.24567632,centerpoint+vit-upernet,40.41837332,237,vit-upernet,40.41837332
single-run exploratory descriptive,vit-upernet,centerpoint,scene-0770,235,35.144946,centerpoint,77.227183,60.243231,37.247185,off,0.6590265860740439,37.247185,39.701890860000006,38.09263,40.453668,60.243231,39.2135491,75.598614,76.51047299999999,76.94907586000001,centerpoint+vit-upernet,39.701890860000006,235,vit-upernet,39.701890860000006
single-run exploratory descriptive,yolov3,yolov3,scene-0184,106,8.831914000000012,centerpoint,184.070977,170.65928350000002,151.835645,off,0.18833595184993257,151.835645,32.14127859999999,152.4659243,166.96346025,170.65928350000002,160.09789975,175.79537425,182.29931625,183.9769236,centerpoint+yolov3,32.14127859999999,106,centerpoint,32.14127859999999
single-run exploratory descriptive,yolov3,yolov3,scene-0245,142,8.36078775,centerpoint,148.972358,124.424537,101.234092,off,0.35334092052920407,101.234092,43.96428044000001,105.27462734000001,120.0584535,124.424537,114.93535235,128.41924125,138.1206687,145.19837244,centerpoint+yolov3,43.96428044000001,142,centerpoint,43.96428044000001
single-run exploratory descriptive,yolov3,yolov3,scene-0252-fixed,232,5.198101000000008,centerpoint,164.77047,153.8557845,135.874949,off,0.17112217506518268,135.874949,26.32813649000002,143.13671843999998,150.15715225,153.8557845,144.00084295,155.35525325,158.2979308,162.20308549,centerpoint+yolov3,26.32813649000002,232,centerpoint,26.32813649000002
single-run exploratory descriptive,yolov3,yolov3,scene-0398,111,10.896255499999995,centerpoint,184.744977,163.028945,145.149456,off,0.19473064185013303,145.149456,31.746731100000034,146.0133569,158.154242,163.028945,150.584471,169.0504975,174.967296,176.89618710000002,centerpoint+yolov3,31.746731100000034,111,centerpoint,31.746731100000034
single-run exploratory descriptive,yolov3,yolov3,scene-0434,113,7.261032999999998,centerpoint,176.744244,162.79997,144.22874,off,0.18097829895177506,144.22874,29.463261640000013,149.3227892,158.574087,162.79997,151.862209,165.83512,170.2481392,173.69200164,centerpoint+yolov3,29.463261640000013,113,centerpoint,29.463261640000013
single-run exploratory descriptive,yolov3,yolov3,scene-0738,116,9.957940249999979,centerpoint,173.034809,157.8676775,140.69004,off,0.18888602608345817,140.69004,29.818998249999964,142.45199095,151.81487425,157.8676775,145.6591685,161.77281449999998,167.71996000000001,170.50903824999997,centerpoint+yolov3,29.818998249999964,116,centerpoint,29.818998249999964
single-run exploratory descriptive,yolov3,yolov3,scene-0770,111,7.300663000000014,centerpoint,181.13861,162.648487,145.383089,off,0.19592325872665514,145.383089,31.866621600000002,151.1458919,159.8044095,162.648487,153.815003,167.1050725,174.12369,177.24971060000001,centerpoint+yolov3,31.866621600000002,111,centerpoint,31.866621600000002
single-run exploratory descriptive,yolov3,centerpoint,scene-0184,235,33.524351,centerpoint,52.636584,32.776924,9.361513,off,1.3158349624266144,9.361513,43.129022559999996,9.954486300000001,16.9324625,32.776924,10.7838019,50.4568135,52.2264639,52.49053556,centerpoint+yolov3,43.129022559999996,235,yolov3,43.129022559999996
single-run exploratory descriptive,yolov3,centerpoint,scene-0245,231,32.295838,centerpoint,52.587239,24.498305,9.048286,off,1.763975536266693,9.048286,43.2144107,9.0986328,12.5798755,24.498305,10.1608855,44.8757135,51.816414,52.2626967,centerpoint+yolov3,43.2144107,231,yolov3,43.2144107
single-run exploratory descriptive,yolov3,centerpoint,scene-0252-fixed,456,37.093895749999994,centerpoint,51.086631,26.7208835,9.462519,off,1.5492435252000558,9.462519,41.39715575,9.7152593,11.97618275,26.7208835,10.29112925,49.070078499999994,50.373295500000005,50.85967475,centerpoint+yolov3,41.39715575,456,yolov3,41.39715575
single-run exploratory descriptive,yolov3,centerpoint,scene-0398,234,37.2374985,centerpoint,52.63075,30.688598,9.577979,off,1.3917784233740491,9.577979,42.711728539999996,9.90724135,13.07129025,30.688598,10.5357782,50.30878875,51.88483565,52.289707539999995,centerpoint+yolov3,42.711728539999996,234,yolov3,42.711728539999996
single-run exploratory descriptive,yolov3,centerpoint,scene-0434,238,36.2806285,centerpoint,52.065483,32.890761499999996,9.916684,off,1.2779140048186481,9.916684,42.03156475,10.03312449,13.734256,32.890761499999996,10.62269325,50.0148845,51.528860449999996,51.94824875,centerpoint+yolov3,42.03156475,238,yolov3,42.03156475
single-run exploratory descriptive,yolov3,centerpoint,scene-0738,237,34.55087399999999,centerpoint,52.407031,34.414429,9.31671,off,1.2445724588369604,9.31671,42.83125052,10.03820476,15.919791,34.414429,11.1540732,50.470665,51.9132062,52.14796052,centerpoint+yolov3,42.83125052,237,yolov3,42.83125052
single-run exploratory descriptive,yolov3,centerpoint,scene-0770,235,33.6008815,centerpoint,52.539293,34.711171,9.732856,off,1.2268701513988105,9.732856,42.58609962,10.64071944,17.032663499999998,34.711171,11.045438,50.633545,51.978211599999995,52.31895562,centerpoint+yolov3,42.58609962,235,yolov3,42.58609962
single-run exploratory descriptive,detr,pointpillars,scene-0184,235,8.613657999999994,pointpillars,42.26554,35.05123,24.588756,off,0.4966339663401257,24.588756,17.40763138,25.373395759999998,29.01838,35.05123,26.1594911,37.632037999999994,40.5986314,41.99638738,pointpillars+detr,17.40763138,235,detr,17.40763138
