analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,yolov3,yolov3,scene-0398,136,8.33981725000001,centerpoint,144.555718,132.40299349999998,114.478515,on,0.20685753679730817,114.478515,27.3885571,114.89912944999999,127.17642724999999,132.40299349999998,120.33787774999999,135.5162445,139.02058025000002,141.8670721,centerpoint+yolov3,27.3885571,136,centerpoint,27.3885571
single-run exploratory descriptive,yolov3,yolov3,scene-0434,119,5.727741000000009,centerpoint,164.637373,152.595049,141.427114,on,0.14600188266920763,141.427114,22.279164439999988,143.61616422,149.6953835,152.595049,145.3418824,155.4231245,159.4229235,163.70627843999998,centerpoint+yolov3,22.279164439999988,119,centerpoint,22.279164439999988
single-run exploratory descriptive,yolov3,yolov3,scene-0738,128,7.224436999999995,centerpoint,155.126129,142.667331,132.225779,on,0.1421199645909128,132.225779,20.275876030000035,133.66609916000002,138.57164075,142.667331,134.60864684999999,145.79607775,149.41299975,152.50165503000002,centerpoint+yolov3,20.275876030000035,128,centerpoint,20.275876030000035
single-run exploratory descriptive,yolov3,yolov3,scene-0770,120,4.247889750000041,centerpoint,161.412234,148.7688015,141.605173,on,0.11006845040692212,141.605173,16.37475144999999,142.35421368000002,146.73681424999998,148.7688015,144.52693795000002,150.98470400000002,155.49295669999998,157.97992445,centerpoint+yolov3,16.37475144999999,120,centerpoint,16.37475144999999
single-run exploratory descriptive,yolov3,centerpoint,scene-0184,235,23.922135,centerpoint,67.680742,15.92799,8.633446,on,3.5522359619763706,8.633446,56.579978880000006,9.09677694,10.534108,15.92799,9.4735552,34.456243,60.5684811,65.21342488,centerpoint+yolov3,56.579978880000006,235,yolov3,56.579978880000006
single-run exploratory descriptive,yolov3,centerpoint,scene-0245,231,11.457595,centerpoint,41.179823,11.863194,8.439966,on,2.406355379504035,8.439966,28.54706069999999,8.833547,9.5736805,11.863194,9.095199000000001,21.0312755,32.2851405,36.98702669999999,centerpoint+yolov3,28.54706069999999,231,yolov3,28.54706069999999
single-run exploratory descriptive,yolov3,centerpoint,scene-0252-fixed,457,13.433155,centerpoint,56.234977,11.713192,8.726286,on,3.9781116675966723,8.726286,46.59638576,8.95941268,9.876428,11.713192,9.2889582,23.309583,49.4619856,55.32267176,centerpoint+yolov3,46.59638576,457,yolov3,46.59638576
single-run exploratory descriptive,yolov3,centerpoint,scene-0398,234,18.637201500000003,centerpoint,55.702279,16.699795,8.298071,on,2.806931750958619,8.298071,46.875184819999994,8.34089846,9.371805,16.699795,8.53956885,28.0090065,53.148857,55.173255819999994,centerpoint+yolov3,46.875184819999994,234,yolov3,46.875184819999994
single-run exploratory descriptive,yolov3,centerpoint,scene-0434,238,16.70862675,centerpoint,60.757212,12.6923945,8.799736,on,4.018646560347616,8.799736,51.0062475,8.96779214,10.1631605,12.6923945,9.228355650000001,26.87178725,55.79799625,59.805983499999996,centerpoint+yolov3,51.0062475,238,yolov3,51.0062475
single-run exploratory descriptive,yolov3,centerpoint,scene-0738,237,15.390623,centerpoint,55.202301,11.435197,8.645697,on,3.858452614327501,8.645697,44.12216576,8.79097688,9.75407,11.435197,8.9702892,25.144693,50.37061539999999,52.76786276,centerpoint+yolov3,44.12216576,237,yolov3,44.12216576
single-run exploratory descriptive,yolov3,centerpoint,scene-0770,235,16.497715,centerpoint,58.522049,12.750831,8.860607,on,3.8119403605929683,8.860607,48.60540732,9.11708234,10.013126,12.750831,9.4461027,26.510841,54.41355079999998,57.46601432,centerpoint+yolov3,48.60540732,235,yolov3,48.60540732
single-run exploratory descriptive,detr,pointpillars,scene-0184,235,3.704440999999999,pointpillars,39.263744,27.147293,24.293183,on,0.5293969929156473,24.293183,14.371695280000004,24.43992938,25.818984,27.147293,25.012622099999998,29.523425,37.262931,38.66487828,pointpillars+detr,14.371695280000004,235,detr,14.371695280000004
