Input,Model,Layer,Start Timestamp,End Timestamp,Elapsed Time,GPU Turnaround Time,GPU Computation Time,GPU Wait Time,Internal Memcpy Size,External Memcpy Size
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_middle_encoder._call_impl,21067252027,21068450573,1.198546,1.155947,0.2384669999999999,0.91748,40960000,20
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_backbone._call_impl,21068464334,21070651258,2.186924,2.053939,2.003699,0.0502399999999996,0,0
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_neck._call_impl,21070667724,21071629391,0.961667,0.836456,0.8282959999999999,0.00816,0,0
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,roi_head.predict,21070755837,21076974142,6.218305,5.285362,2.766329,2.5190330000000003,25184,68
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_bbox_head.predict,21071650504,21086594816,14.944312,14.635915,3.960326,10.675589,164392,84982
4fefe923172541b2ab96f811f03ff15e,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_encode,21078079340,21116226403,38.147063,0.0,0.0,0.0,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_decode,21087146331,21087359649,0.2133179999999999,0.0,0.0,0.0,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,e2e,21087375133,21116768346,29.393213,27.532773,19.52515,8.007622999999999,47880228,584318
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,data_preprocessor._call_impl,21088927194,21095268549,6.341355,6.115418,5.787895,0.3275230000000002,6755232,513604
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_voxel_encoder._call_impl,21095306558,21101990459,6.683901,6.648606999999999,6.463966,0.1846409999999991,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_middle_encoder._call_impl,21102030970,21102435279,0.404309,0.362724,0.2156499999999999,0.147074,40960000,20
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_backbone._call_impl,21102449138,21104588934,2.139796,2.064276,2.007539,0.056737,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_neck._call_impl,21104607270,21105593597,0.986327,0.920393,0.912233,0.0081599999999999,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_bbox_head.predict,21105614831,21116727403,11.112572,10.991816,4.136651,6.855165,164996,70694
