model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
3dssd+yolov3,3dssd,lidar,Clear,clear,0.0,9.955,39.458,49.413,51.016,39.458,45.083,759,47.677,40.484,48.414
3dssd+yolov3,yolov3,image,Clear,clear,0.0,36.406,9.366,45.772,46.035,9.366,36.258,456,35.067,32.642,39.945
3dssd+yolov3,3dssd,lidar,7.5 mm/h,r7p5,7.5,9.374,39.568,48.942,50.074,39.568,45.036,755,47.813,40.363,48.269
3dssd+yolov3,yolov3,image,7.5 mm/h,r7p5,7.5,36.681,8.532,45.214,45.658,8.532,35.070,457,33.765,31.154,38.033
3dssd+yolov3,3dssd,lidar,15 mm/h,r15,15.0,9.569,39.684,49.253,51.497,39.684,45.220,756,47.850,40.732,48.492
3dssd+yolov3,yolov3,image,15 mm/h,r15,15.0,36.766,8.826,45.592,47.210,8.826,35.684,456,34.198,32.135,38.993
3dssd+yolov3,3dssd,lidar,25 mm/h,r25,25.0,9.790,39.539,49.329,50.690,39.539,45.318,754,48.014,40.853,48.558
3dssd+yolov3,yolov3,image,25 mm/h,r25,25.0,36.293,9.070,45.363,47.076,9.070,35.698,456,34.523,32.001,39.090
3dssd+yolov3,3dssd,lidar,50 mm/h,r50,50.0,10.037,39.956,49.993,52.384,39.956,45.732,751,48.609,41.018,49.055
3dssd+yolov3,yolov3,image,50 mm/h,r50,50.0,37.857,8.675,46.532,47.729,8.675,36.940,456,36.384,33.725,41.878
centerpoint+deeplabv3plus,centerpoint,lidar,Clear,clear,0.0,228.972,136.258,365.230,365.601,136.258,291.777,127,300.141,269.667,314.615
centerpoint+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,44.172,40.218,84.389,84.712,40.218,62.870,457,63.574,44.033,82.156
centerpoint+deeplabv3plus,centerpoint,lidar,7.5 mm/h,r7p5,7.5,216.603,132.190,348.794,352.201,132.190,278.950,132,288.536,259.890,305.023
centerpoint+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,43.917,40.495,84.412,84.878,40.495,62.496,457,64.167,44.526,78.905
centerpoint+deeplabv3plus,centerpoint,lidar,15 mm/h,r15,15.0,219.583,131.692,351.275,357.836,131.692,277.682,133,276.610,259.145,304.547
centerpoint+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,43.534,40.827,84.361,84.632,40.827,62.603,457,62.005,44.298,80.542
centerpoint+deeplabv3plus,centerpoint,lidar,25 mm/h,r25,25.0,217.680,133.283,350.964,355.773,133.283,279.461,132,288.704,259.783,305.096
centerpoint+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,44.861,39.932,84.793,85.484,39.932,62.539,457,62.988,44.159,80.571
centerpoint+deeplabv3plus,centerpoint,lidar,50 mm/h,r50,50.0,223.277,132.106,355.382,360.043,132.106,280.491,132,289.023,261.414,307.010
centerpoint+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,43.505,41.557,85.063,85.656,41.557,63.098,457,62.905,44.544,81.305
centerpoint+detr,centerpoint,lidar,Clear,clear,0.0,103.554,135.294,238.848,251.015,135.294,200.479,181,203.721,187.364,214.816
centerpoint+detr,detr,image,Clear,clear,0.0,29.339,24.790,54.129,60.192,24.790,42.455,457,44.901,32.236,52.555
centerpoint+detr,centerpoint,lidar,7.5 mm/h,r7p5,7.5,88.556,134.301,222.857,228.350,134.301,192.656,188,189.209,181.478,207.343
centerpoint+detr,detr,image,7.5 mm/h,r7p5,7.5,29.870,23.948,53.818,54.252,23.948,42.298,457,44.301,32.694,52.311
centerpoint+detr,centerpoint,lidar,15 mm/h,r15,15.0,86.219,132.106,218.325,220.783,132.106,192.728,187,190.790,181.350,206.950
centerpoint+detr,detr,image,15 mm/h,r15,15.0,29.270,24.622,53.892,54.151,24.622,42.170,457,43.593,32.866,52.165
centerpoint+detr,centerpoint,lidar,25 mm/h,r25,25.0,97.259,132.367,229.626,244.757,132.367,196.051,184,192.382,184.308,211.545
centerpoint+detr,detr,image,25 mm/h,r25,25.0,30.934,23.544,54.478,54.983,23.544,42.535,457,43.598,33.554,52.642
centerpoint+detr,centerpoint,lidar,50 mm/h,r50,50.0,90.093,129.302,219.395,236.042,129.302,193.562,187,192.153,182.397,210.072
centerpoint+detr,detr,image,50 mm/h,r50,50.0,30.680,23.865,54.544,54.762,23.865,42.583,457,44.174,34.657,52.477
centerpoint+dino,centerpoint,lidar,Clear,clear,0.0,202.787,137.208,339.995,340.592,137.208,308.515,120,320.459,284.627,330.618
centerpoint+dino,dino,image,Clear,clear,0.0,99.355,73.156,172.511,175.983,73.156,113.908,315,94.787,83.642,158.828
centerpoint+dino,centerpoint,lidar,7.5 mm/h,r7p5,7.5,195.517,130.232,325.749,334.053,130.232,284.399,130,276.771,268.769,310.030
centerpoint+dino,dino,image,7.5 mm/h,r7p5,7.5,100.634,67.002,167.636,168.643,67.002,117.579,306,99.826,87.861,158.233
centerpoint+dino,centerpoint,lidar,15 mm/h,r15,15.0,123.962,204.453,328.415,331.768,204.453,284.326,130,277.369,266.765,308.288
centerpoint+dino,dino,image,15 mm/h,r15,15.0,99.952,68.598,168.551,170.030,68.598,118.704,304,99.914,88.962,158.579
centerpoint+dino,centerpoint,lidar,25 mm/h,r25,25.0,128.151,200.998,329.149,338.543,200.998,287.011,129,277.666,270.586,312.325
centerpoint+dino,dino,image,25 mm/h,r25,25.0,101.806,67.871,169.677,171.330,67.871,121.020,299,100.775,89.574,160.935
centerpoint+dino,centerpoint,lidar,50 mm/h,r50,50.0,197.200,132.104,329.304,331.452,132.104,283.011,131,275.127,267.348,305.316
centerpoint+dino,dino,image,50 mm/h,r50,50.0,101.418,67.691,169.109,172.797,67.691,120.708,300,100.563,93.865,160.945
