adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
4.691335559999999,4.691335559999999,single-run exploratory descriptive,yolov3,clear,4.1234508000000005,4.1234508000000005,yolov3,r50,3dssd,on,observed_amplification,3dssd+yolov3,13.772075563506124,3dssd,0.5678847599999983,1.1377207556350613
4.416866150000004,4.416866150000004,single-run exploratory descriptive,yolov3,clear,4.1234508000000005,4.1234508000000005,yolov3,r7p5,3dssd,on,observed_amplification,3dssd+yolov3,7.115771819079386,3dssd,0.2934153500000036,1.0711577181907939
7.969516799999999,7.969516799999999,single-run exploratory descriptive,yolov3,clear,7.226235279999999,7.226235279999999,3dssd,r15,3dssd,on,observed_amplification,3dssd+yolov3,10.285874887815716,yolov3,0.74328152,1.1028587488781572
7.120555999999997,7.120555999999997,single-run exploratory descriptive,yolov3,clear,7.226235279999999,7.226235279999999,3dssd,r25,3dssd,on,observed_damping,3dssd+yolov3,-1.4624389589485087,yolov3,-0.10567928000000215,0.9853756104105149
8.05162575,8.05162575,single-run exploratory descriptive,yolov3,clear,7.226235279999999,7.226235279999999,3dssd,r50,3dssd,on,observed_amplification,3dssd+yolov3,11.422136673081052,yolov3,0.8253904700000003,1.1142213667308105
7.584923120000001,7.584923120000001,single-run exploratory descriptive,yolov3,clear,7.226235279999999,7.226235279999999,3dssd,r7p5,3dssd,on,observed_amplification,3dssd+yolov3,4.963688921017284,yolov3,0.35868784000000176,1.0496368892101728
107.51057444999998,107.51057444999998,single-run exploratory descriptive,deeplabv3plus,clear,108.905045,108.905045,deeplabv3plus,r15,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-1.2804462364438884,centerpoint,-1.3944705500000225,0.9871955376355611
97.93968135999998,97.93968135999998,single-run exploratory descriptive,deeplabv3plus,clear,108.905045,108.905045,deeplabv3plus,r25,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-10.068737990971876,centerpoint,-10.965363640000021,0.8993126200902812
105.94779485999993,105.94779485999993,single-run exploratory descriptive,deeplabv3plus,clear,108.905045,108.905045,deeplabv3plus,r50,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-2.715439068961467,centerpoint,-2.9572501400000704,0.9728456093103853
110.23759051999997,110.23759051999997,single-run exploratory descriptive,deeplabv3plus,clear,108.905045,108.905045,deeplabv3plus,r7p5,centerpoint,on,observed_amplification,centerpoint+deeplabv3plus,1.2235847476119943,centerpoint,1.332545519999968,1.01223584747612
45.316987819999994,45.316987819999994,single-run exploratory descriptive,deeplabv3plus,clear,49.208495,49.208495,centerpoint,r15,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-7.908201988294916,deeplabv3plus,-3.891507180000005,0.9209179801170508
45.964214000000005,45.964214000000005,single-run exploratory descriptive,deeplabv3plus,clear,49.208495,49.208495,centerpoint,r25,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-6.592928720945423,deeplabv3plus,-3.2442809999999938,0.9340707127905458
