clear_p0_p99_range_ms,evaluated_model,mps_mode,pair_id,r15_p0_p99_range_ms,r15_percentage_change,r25_p0_p99_range_ms,r25_percentage_change,r50_p0_p99_range_ms,r50_percentage_change,r7p5_p0_p99_range_ms,r7p5_percentage_change
108.905045,centerpoint,on,centerpoint+deeplabv3plus,107.51057444999998,-1.2804462364438884,97.93968135999998,-10.068737990971876,105.94779485999993,-2.715439068961467,110.23759051999997,1.2235847476119943
49.208495,deeplabv3plus,on,centerpoint+deeplabv3plus,45.316987819999994,-7.908201988294916,45.964214000000005,-6.592928720945423,45.324422039999995,-7.893094393559497,45.47683357,-7.583368339145514
53.758135899999985,centerpoint,on,centerpoint+detr,51.24384119999999,-4.677049637057806,52.84312843000001,-1.7020818424620554,47.52755579999999,-11.59002259972336,49.61068260000002,-7.715024396893133
49.91522612,detr,on,centerpoint+detr,44.651939399999996,-10.544451321019089,47.59873891999999,-4.640842845088988,45.03720935999999,-9.772602749054737,45.8374001,-8.169503249763089
140.64156696999999,centerpoint,on,centerpoint+dino,136.12376953999998,-3.2122775132075176,140.62046916,-0.015001119835711396,135.91434437999996,-3.361184528759109,139.06794440000002,-1.1188886784343377
64.51761079999999,dino,on,centerpoint+dino,61.054322060000004,-5.3679742585879815,60.95570737,-5.52082351753792,60.549626599999996,-6.150234255109755,64.43443066,-0.12892625589908668
71.27079061999999,centerpoint,on,centerpoint+faster-rcnn,76.16837154000001,6.871792605911775,72.70458099999999,2.0117503503569223,73.00114517,2.4278593445467456,71.45155290999998,0.25362745162147426
51.433404040000006,faster-rcnn,on,centerpoint+faster-rcnn,47.449377139999996,-7.745991101233773,46.959282449999996,-8.698863459475604,48.63101884,-5.448570345102133,48.02817257,-6.620661287267204
112.21134239999998,centerpoint,on,centerpoint+mask-rcnn,113.94889863,1.5484675549162885,112.37085717000002,0.14215565609350111,109.92771542,-2.03511243262694,115.32822563999997,2.7776900029314655
57.09089535999999,mask-rcnn,on,centerpoint+mask-rcnn,53.636387879999994,-6.050890353386107,54.46546175999998,-4.598690532780614,55.53903219999996,-2.718232303442425,54.52071049999999,-4.501917238805064
70.22529079999998,centerpoint,on,centerpoint+vit-upernet,76.76505554999997,9.31254919061153,74.95585011,6.736261617588091,71.46603333000002,1.76680297919114,70.71254504000001,0.6938443891784107
49.71696955999999,vit-upernet,on,centerpoint+vit-upernet,46.65992756,-6.1488904634677155,47.314420680000005,-4.832452382481822,47.268167440000006,-4.925485486489056,45.70628296,-8.067037543709832
20.636912019999983,centerpoint,on,centerpoint+yolov3,19.231948249999988,-6.808013566363003,17.11267989000001,-17.07732303449524,19.51656914,-5.428830044505773,19.093053999999967,-7.48105151828824
47.234117680000004,yolov3,on,centerpoint+yolov3,44.572296120000004,-5.635379024190124,42.88776556,-9.201721834724463,43.66866768,-7.548463219224477,44.28819272,-6.236858238695076
12.382364680000002,deeplabv3plus,on,pointpillars+deeplabv3plus,12.682726899999999,2.4257258428605377,12.413940920000002,0.2550097724952405,12.13864632,-1.9682699249979008,13.084623370000003,5.671442476042476
55.680549189999994,pointpillars,on,pointpillars+deeplabv3plus,52.694722709999986,-5.362422827065528,50.04352768000001,-10.123861190313777,52.22749186,-6.201550416137325,53.50262906999998,-3.9114558884256745
12.787782999999997,detr,on,pointpillars+detr,12.917643119999997,1.0155014360190506,13.098745319999995,2.4317140821047634,12.41913444,-2.8828183900211357,12.34758455,-3.442335938919183
