adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
30.626738249999995,30.626738249999995,single-run exploratory descriptive,detr,clear,29.299307799999998,29.299307799999998,3dssd,r50,3dssd,off,observed_amplification,3dssd+detr,4.530586384706314,detr,1.3274304499999978,1.0453058638470631
29.07360108,29.07360108,single-run exploratory descriptive,detr,clear,29.299307799999998,29.299307799999998,3dssd,r7p5,3dssd,off,observed_damping,3dssd+detr,-0.7703483015390478,detr,-0.22570671999999803,0.9922965169846095
35.73701756,35.73701756,single-run exploratory descriptive,dino,clear,36.30157902,36.30157902,dino,r15,3dssd,off,observed_damping,3dssd+dino,-1.5551980801963516,3dssd,-0.5645614600000002,0.9844480191980365
36.345394,36.345394,single-run exploratory descriptive,dino,clear,36.30157902,36.30157902,dino,r25,3dssd,off,observed_amplification,3dssd+dino,0.12069717401510527,3dssd,0.0438149800000005,1.001206971740151
37.33154742000001,37.33154742000001,single-run exploratory descriptive,dino,clear,36.30157902,36.30157902,dino,r50,3dssd,off,observed_amplification,3dssd+dino,2.8372550941449637,3dssd,1.0299684000000084,1.0283725509414496
35.90187109,35.90187109,single-run exploratory descriptive,dino,clear,36.30157902,36.30157902,dino,r7p5,3dssd,off,observed_damping,3dssd+dino,-1.101075878213953,3dssd,-0.39970792999999816,0.9889892412178605
71.93944383000002,71.93944383000002,single-run exploratory descriptive,dino,clear,71.89407424999999,71.89407424999999,3dssd,r15,3dssd,off,observed_amplification,3dssd+dino,0.0631061467489813,dino,0.045369580000027554,1.0006310614674898
73.50400023999998,73.50400023999998,single-run exploratory descriptive,dino,clear,71.89407424999999,71.89407424999999,3dssd,r25,3dssd,off,observed_amplification,3dssd+dino,2.239302761451145,dino,1.6099259899999936,1.0223930276145115
73.8164245,73.8164245,single-run exploratory descriptive,dino,clear,71.89407424999999,71.89407424999999,3dssd,r50,3dssd,off,observed_amplification,3dssd+dino,2.673864668338788,dino,1.922350250000008,1.0267386466833879
73.44012187000001,73.44012187000001,single-run exploratory descriptive,dino,clear,71.89407424999999,71.89407424999999,3dssd,r7p5,3dssd,off,observed_amplification,3dssd+dino,2.150452086807464,dino,1.5460476200000244,1.0215045208680746
34.73435356,34.73435356,single-run exploratory descriptive,faster-rcnn,clear,35.242646519999994,35.242646519999994,faster-rcnn,r15,3dssd,off,observed_damping,3dssd+faster-rcnn,-1.4422667143102808,3dssd,-0.5082929599999915,0.9855773328568972
34.67294252000001,34.67294252000001,single-run exploratory descriptive,faster-rcnn,clear,35.242646519999994,35.242646519999994,faster-rcnn,r25,3dssd,off,observed_damping,3dssd+faster-rcnn,-1.616518781234788,3dssd,-0.5697039999999873,0.9838348121876521
35.20954706,35.20954706,single-run exploratory descriptive,faster-rcnn,clear,35.242646519999994,35.242646519999994,faster-rcnn,r50,3dssd,off,observed_damping,3dssd+faster-rcnn,-0.09391876963953383,3dssd,-0.03309945999999542,0.9990608123036047
