condition_id,factor_change_on_minus_off,mps_off_label,mps_off_variation_factor,mps_on_label,mps_on_variation_factor,pair_id,target_model
r15,-0.08613874517396125,observed_amplification,1.0086788341616235,observed_damping,0.9225400889876623,centerpoint+faster-rcnn,faster-rcnn
r25,-0.11396541602589394,observed_amplification,1.026976781431138,observed_damping,0.913011365405244,centerpoint+faster-rcnn,faster-rcnn
r50,-0.08388056763157192,observed_amplification,1.0293948641805506,observed_damping,0.9455142965489787,centerpoint+faster-rcnn,faster-rcnn
r7p5,-0.08118884797951809,observed_amplification,1.014982235106846,observed_damping,0.933793387127328,centerpoint+faster-rcnn,faster-rcnn
r15,0.12727129604727794,observed_damping,0.888213379501885,observed_amplification,1.0154846755491629,centerpoint+mask-rcnn,centerpoint
r25,0.10489463303175783,observed_damping,0.8965269235291772,observed_amplification,1.001421556560935,centerpoint+mask-rcnn,centerpoint
r50,0.10524834368239822,observed_damping,0.8744005319913324,observed_damping,0.9796488756737306,centerpoint+mask-rcnn,centerpoint
r7p5,0.1040956215154456,observed_damping,0.923681278513869,observed_amplification,1.0277769000293147,centerpoint+mask-rcnn,centerpoint
r15,0.010852742362302381,observed_damping,0.9286383541038365,observed_damping,0.9394910964661389,centerpoint+mask-rcnn,mask-rcnn
r25,0.010941017860771174,observed_damping,0.9430720768114227,observed_damping,0.9540130946721939,centerpoint+mask-rcnn,mask-rcnn
r50,-0.003410945513039443,observed_damping,0.9762286224786152,observed_damping,0.9728176769655758,centerpoint+mask-rcnn,mask-rcnn
r7p5,0.0042318239603020835,observed_damping,0.9507490036516473,observed_damping,0.9549808276119494,centerpoint+mask-rcnn,mask-rcnn
r15,0.09030022903464219,observed_amplification,1.002825262871473,observed_amplification,1.0931254919061153,centerpoint+vit-upernet,centerpoint
r25,0.04551774391046459,observed_amplification,1.0218448722654163,observed_amplification,1.067362616175881,centerpoint+vit-upernet,centerpoint
r50,0.02253396007091546,observed_damping,0.9951340697209959,observed_amplification,1.0176680297919114,centerpoint+vit-upernet,centerpoint
r7p5,0.0013361649600611702,observed_amplification,1.005602278931723,observed_amplification,1.006938443891784,centerpoint+vit-upernet,centerpoint
r15,-0.07280075280494147,observed_amplification,1.0113118481702643,observed_damping,0.9385110953653228,centerpoint+vit-upernet,vit-upernet
r25,-0.05711427392549506,observed_amplification,1.0087897501006768,observed_damping,0.9516754761751818,centerpoint+vit-upernet,vit-upernet
r50,-0.07159610429954011,observed_amplification,1.0223412494346495,observed_damping,0.9507451451351094,centerpoint+vit-upernet,vit-upernet
r7p5,-0.07128483015575304,observed_damping,0.9906144547186547,observed_damping,0.9193296245629017,centerpoint+vit-upernet,vit-upernet
r15,0.04370871906539775,observed_damping,0.8882111452709722,observed_damping,0.93191986433637,centerpoint+yolov3,centerpoint
r25,-0.0816656975418556,observed_damping,0.9108924671969032,observed_damping,0.8292267696550476,centerpoint+yolov3,centerpoint
r50,0.1686822898295881,observed_damping,0.7770294097253542,observed_damping,0.9457116995549423,centerpoint+yolov3,centerpoint
r7p5,-0.027587419487474896,observed_damping,0.9527769043045925,observed_damping,0.9251894848171176,centerpoint+yolov3,centerpoint
r15,-0.0466353468332289,observed_damping,0.9902815565913277,observed_damping,0.9436462097580988,centerpoint+yolov3,yolov3
r25,-0.0982753268652855,observed_amplification,1.0062581085180409,observed_damping,0.9079827816527554,centerpoint+yolov3,yolov3
r50,-0.06139838384441243,observed_damping,0.9859137516521677,observed_damping,0.9245153678077552,centerpoint+yolov3,yolov3
r7p5,-0.06659849011175611,observed_amplification,1.0042299077248054,observed_damping,0.9376314176130492,centerpoint+yolov3,yolov3
r15,0.03724402670582605,observed_damping,0.9870132317227793,observed_amplification,1.0242572584286054,pointpillars+deeplabv3plus,deeplabv3plus
r25,-0.002357410212725064,observed_amplification,1.0049075079376775,observed_amplification,1.0025500977249524,pointpillars+deeplabv3plus,deeplabv3plus
r50,-0.03151703581505583,observed_amplification,1.0118343365650768,observed_damping,0.980317300750021,pointpillars+deeplabv3plus,deeplabv3plus
r7p5,0.09319489420410454,observed_damping,0.9635195305563202,observed_amplification,1.0567144247604248,pointpillars+deeplabv3plus,deeplabv3plus
r15,-0.05240918212464907,observed_damping,0.9987849538539938,observed_damping,0.9463757717293447,pointpillars+deeplabv3plus,pointpillars
r25,-0.11995045933571136,observed_amplification,1.0187118474325736,observed_damping,0.8987613880968622,pointpillars+deeplabv3plus,pointpillars
r50,-0.07352538293019584,observed_amplification,1.0115098787688226,observed_damping,0.9379844958386268,pointpillars+deeplabv3plus,pointpillars
r7p5,-0.034399763344954426,observed_damping,0.9952852044606977,observed_damping,0.9608854411157433,pointpillars+deeplabv3plus,pointpillars
r15,-0.010532453839380063,observed_amplification,1.0206874681995706,observed_amplification,1.0101550143601905,pointpillars+detr,detr
r25,0.010040042876399813,observed_amplification,1.0142770979446478,observed_amplification,1.0243171408210476,pointpillars+detr,detr
r50,-0.0512763908811833,observed_amplification,1.022448206980972,observed_damping,0.9711718160997886,pointpillars+detr,detr
r7p5,-0.0669049857585251,observed_amplification,1.0324816263693333,observed_damping,0.9655766406108082,pointpillars+detr,detr
r15,-0.002561861600476334,observed_amplification,1.0057440478262278,observed_amplification,1.0031821862257515,pointpillars+detr,pointpillars
r25,-0.07701333495685292,observed_amplification,1.020909041416602,observed_damping,0.9438957064597491,pointpillars+detr,pointpillars
r50,-0.013698489138138203,observed_amplification,1.018793492688072,observed_amplification,1.0050950035499338,pointpillars+detr,pointpillars
r7p5,-0.03948723278195132,observed_amplification,1.0068815072392738,observed_damping,0.9673942744573225,pointpillars+detr,pointpillars
r15,-0.10861555329627548,observed_amplification,1.0184218662627547,observed_damping,0.9098063129664792,pointpillars+dino,dino
r25,-0.3421589298561021,observed_amplification,1.300596766797423,observed_damping,0.9584378369413209,pointpillars+dino,dino
r50,-0.3608767961744508,observed_amplification,1.275366034209469,observed_damping,0.9144892380350182,pointpillars+dino,dino
r7p5,-0.278607088905232,observed_amplification,1.2281732955300646,observed_damping,0.9495662066248326,pointpillars+dino,dino
r15,-0.018615190042846175,observed_damping,0.9916746874292119,observed_damping,0.9730594973863658,pointpillars+dino,pointpillars
r25,0.5538402226133547,observed_damping,0.4274280515596108,observed_damping,0.9812682741729655,pointpillars+dino,pointpillars
r50,0.018266589994044402,observed_damping,0.9671295603195713,observed_damping,0.9853961503136157,pointpillars+dino,pointpillars
