model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
centerpoint+deeplabv3plus,centerpoint,lidar,7.5 mm/h,r7p5,7.5,110.238,131.057,241.295,250.685,131.057,196.857,184,199.442,181.100,213.822
centerpoint+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,45.477,40.017,85.494,88.980,40.017,56.380,458,51.422,41.301,73.420
centerpoint+deeplabv3plus,centerpoint,lidar,15 mm/h,r15,15.0,107.511,130.756,238.267,242.151,130.756,192.893,188,195.039,172.125,213.235
centerpoint+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,45.317,39.912,85.229,88.421,39.912,56.662,458,52.641,41.176,76.811
centerpoint+deeplabv3plus,centerpoint,lidar,25 mm/h,r25,25.0,97.940,133.508,231.447,244.051,133.508,197.785,183,201.129,180.654,214.998
centerpoint+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,45.964,40.243,86.207,87.605,40.243,56.842,457,51.140,41.724,74.321
centerpoint+deeplabv3plus,centerpoint,lidar,50 mm/h,r50,50.0,105.948,130.971,236.919,250.102,130.971,196.078,184,198.776,179.981,214.223
centerpoint+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,45.324,40.214,85.539,87.125,40.214,56.045,457,49.825,41.433,73.202
centerpoint+detr,centerpoint,lidar,Clear,clear,0.0,53.758,137.988,191.746,193.363,137.988,169.391,211,169.868,163.160,177.112
centerpoint+detr,detr,image,Clear,clear,0.0,49.915,23.473,73.388,73.932,23.473,38.962,457,32.547,24.735,51.163
centerpoint+detr,centerpoint,lidar,7.5 mm/h,r7p5,7.5,49.611,133.789,183.400,185.978,133.789,159.580,224,160.418,152.272,165.809
centerpoint+detr,detr,image,7.5 mm/h,r7p5,7.5,45.837,23.353,69.191,70.482,23.353,37.621,458,29.424,24.315,47.884
centerpoint+detr,centerpoint,lidar,15 mm/h,r15,15.0,51.244,131.892,183.136,188.534,131.892,160.790,221,162.134,154.839,166.622
centerpoint+detr,detr,image,15 mm/h,r15,15.0,44.652,23.547,68.199,70.201,23.547,37.216,457,30.867,24.520,47.800
centerpoint+detr,centerpoint,lidar,25 mm/h,r25,25.0,52.843,131.189,184.032,186.355,131.189,162.795,220,163.491,155.885,169.628
centerpoint+detr,detr,image,25 mm/h,r25,25.0,47.599,23.637,71.235,72.862,23.637,37.612,457,29.922,25.024,48.501
centerpoint+detr,centerpoint,lidar,50 mm/h,r50,50.0,47.528,132.194,179.721,184.584,132.194,158.583,225,159.305,151.814,164.754
centerpoint+detr,detr,image,50 mm/h,r50,50.0,45.037,23.558,68.596,69.759,23.558,37.128,457,27.754,24.125,50.014
centerpoint+dino,centerpoint,lidar,Clear,clear,0.0,140.642,136.950,277.591,278.046,136.950,244.636,150,245.894,228.211,261.902
centerpoint+dino,dino,image,Clear,clear,0.0,64.518,68.515,133.033,134.829,68.515,92.741,379,90.871,70.338,112.284
centerpoint+dino,centerpoint,lidar,7.5 mm/h,r7p5,7.5,139.068,132.387,271.455,271.876,132.387,235.599,156,230.138,219.946,253.795
