analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,r25,0.32045088566827695,30.576413,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.322061191626409,30.60409,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.32367149758454106,30.604609,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3252818035426731,30.605363,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.32689210950080516,30.614002,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3285024154589372,30.633789,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.33011272141706927,30.636426,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.33172302737520126,30.640929,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3333333333333333,30.643201,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.33494363929146537,30.650125,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3365539452495974,30.650479,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.33816425120772947,30.673715,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3397745571658615,30.679024,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3413848631239936,30.691241,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.34299516908212563,30.705076,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3446054750402576,30.705457,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3462157809983897,30.706439,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.34782608695652173,30.714198,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3494363929146538,30.721741,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.35104669887278583,30.762241,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3526570048309179,30.767645,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.35426731078904994,30.783621,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.355877616747182,30.814306,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.357487922705314,30.828331,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.35909822866344604,30.850964,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3607085346215781,30.877506,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.36231884057971014,30.887295,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
