analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,dino,3dssd,clear,440,1.265782999999999,3dssd,86.183896,76.92815250000001,69.949704,on,0.1343978568834082,69.949704,10.338978830000002,73.45869169,76.34722825,76.92815250000001,75.0130202,77.61301125,78.8165573,80.28868283,3dssd+dino,10.338978830000002,440,dino,10.338978830000002
single-run exploratory descriptive,dino,3dssd,r15,436,1.3928764999999999,3dssd,87.910382,77.19110649999999,66.770426,on,0.19744521993605563,66.770426,15.24101499999999,73.29176135,76.517949,77.19110649999999,74.94265825,77.9108255,79.42001325,82.01144099999999,3dssd+dino,15.24101499999999,436,dino,15.24101499999999
single-run exploratory descriptive,dino,3dssd,r25,432,1.520568499999996,3dssd,89.332322,77.779128,67.703046,on,0.1827049867414301,67.703046,14.210634549999995,74.43642516,77.1029805,77.779128,75.8133049,78.623549,79.9319779,81.91368055,3dssd+dino,14.210634549999995,432,dino,14.210634549999995
single-run exploratory descriptive,dino,3dssd,r50,434,1.2139054999999956,3dssd,86.412406,77.39475250000001,67.645008,on,0.18177071604434689,67.645008,14.068099580000009,73.13685602999999,76.8791515,77.39475250000001,75.4462258,78.093057,79.19339945,81.71310758000001,3dssd+dino,14.068099580000009,434,dino,14.068099580000009
single-run exploratory descriptive,dino,3dssd,r7p5,436,1.360820000000004,3dssd,91.273633,77.626567,67.783748,on,0.17509837514777643,67.783748,13.592285750000002,70.4052765,76.9073025,77.626567,75.02045575,78.2681225,79.33530775,81.37603375,3dssd+dino,13.592285750000002,436,dino,13.592285750000002
single-run exploratory descriptive,faster-rcnn,faster-rcnn,clear,691,18.284424,3dssd,71.470695,50.937372,40.204039,on,0.5652764555658664,40.204039,28.79369710000001,40.4660713,41.2390465,50.937372,40.6422765,59.5234705,65.22655950000001,68.99773610000001,3dssd+faster-rcnn,28.79369710000001,691,3dssd,28.79369710000001
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r15,693,17.052730000000004,3dssd,73.324238,50.423828,39.717046,on,0.571429053740228,39.717046,28.81364032000001,39.982839680000005,41.046755,50.423828,40.163856,58.099485,64.661207,68.53068632000002,3dssd+faster-rcnn,28.81364032000001,693,3dssd,28.81364032000001
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r25,685,17.642026,3dssd,71.879726,50.599201,40.199183,on,0.5696023192144871,40.199183,28.821422239999997,40.57174836,41.577622,50.599201,40.8345658,59.219648,64.96670759999999,69.02060524,3dssd+faster-rcnn,28.821422239999997,685,3dssd,28.821422239999997
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r50,687,17.4463675,3dssd,71.442634,50.284505,39.818807,on,0.5819763929266083,39.818807,29.26439484,39.98326086,41.1487705,50.284505,40.237694000000005,58.595138,64.19457320000001,69.08320184,3dssd+faster-rcnn,29.26439484,687,3dssd,29.26439484
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r7p5,687,17.750619,3dssd,71.326534,50.261378,40.193798,on,0.5591832882098854,40.193798,28.105322619999995,40.3770439,41.649809000000005,50.261378,40.698639299999996,59.400428000000005,65.2516005,68.29912062,3dssd+faster-rcnn,28.105322619999995,687,3dssd,28.105322619999995
